Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
roms,0.6891296654171446,10.278433896932896,3.556429662139182,0.3562457678391839,0.0,12.220094644785476,0.21163839738250914,0.13971674246204938,1.0912292717982053,5454.763928996213,0,0,0
cam4,1.0053330294704057,5.772966549778981,3.6266597280005204,0.6658429293226015,0.0,14.992859297963557,0.32005638810881937,0.21603987186349824,1.1529781505792984,5636.734846939057,0,0,0
omnetpp,0.487449779420289,12.148385891543127,5.489644533380215,0.4899920025277725,0.0,18.245207836333233,0.20279213275362035,0.1506689196477693,1.06538221114888,4732.022591624777,0,0,0
bwaves,0.625465952985629,19.53865064013674,6.161359507091239,0.44889909212712986,0.0,24.326554903522577,0.2607342877396568,0.21512661350570408,1.0616932091906508,4246.361712349221,0,0,0

triangle,0.6147511213349659,11.041749613476554,8.797194472168332,0.8024529138328614,0.0,17.950692696355112,0.46347093776752635,0.3503982402615327,1.2107485045367405,5284.79896603406,0,0,0
pagerankdelta,0.37288707480992855,19.74188127614279,10.818909080392729,0.5919376750481887,0.0,25.025712595305663,0.2830544851075694,0.22910109951636773,1.0752545130285065,4383.975125035701,0,0,0
mis,0.4510840427061437,20.579397168378577,11.601569129882316,0.5641275125197479,0.0,26.952372773903853,0.3301793811248777,0.27909828033818174,1.0762608664876279,4201.69261918861,0,0,0

whiskey,0.8779746786711333,10.180975200055993,4.552799453664066,0.47871551819314545,0.0,23.250892828722932,0.3028166925915999,0.23200870421477723,1.101562942807729,4744.591108768231,0,0,0
charlie,0.8451543348258201,12.08368782333016,3.6763447058924235,0.313063334450298,0.0,24.010348850298815,0.21813461430130532,0.17050065702449252,1.060923476276221,4479.159513048966,0,0,0
merced,0.6096168691398973,16.271518436551805,6.534819509888536,0.4156156209633771,0.0,24.21203729713072,0.2862491227157674,0.2281980604201998,1.0813323866114848,4476.157568226822,0,0,0
delta,0.5497443475625239,19.73274404038885,5.647164576462656,0.29194952166034654,0.0,25.35965361927257,0.22768154241357175,0.17564932885893517,1.0673714489709885,4565.736584640257,0,0,0

