Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.4146048780112579,19.34279805839238,7.501591156230111,0.3908975494424476,0.0,21.500910161104017,7.069150880258908,0.21969148421005738,0.174185965140862,1.058317342625856,4404.837754922997,17498188,646309,4271106
roms,0.7795808948886014,7.974941808610762,2.7079687026105477,0.3481578550245862,0.0,9.518370343537033,4.150741978470245,0.20568394245232946,0.12258504309611189,1.1046169198854832,6116.296563614333,6385306,261137,1175295
cam4,1.04636113942526,5.609051942825062,3.8832236723355265,0.7419831907403617,0.0,18.767110249814795,6.815761882322009,0.3193880908211132,0.2385267863689574,1.1188067727902522,4943.682691475092,5473542,593107,1210574
lbm,0.272798679913329,33.79667789347747,25.378339524156132,0.7511638732844547,0.0,30.047210138288623,7.9999073190676,0.47453512138222215,0.4107520652264517,1.121384052010384,4275.204765953959,35664040,5129473,10120042
omnetpp,0.4929624698942262,12.027024387732633,5.664011108399722,0.5110987111567105,0.0,20.484854847950505,7.3951968687334055,0.1981839830098196,0.155360698509689,1.0534078686291135,4434.430832036218,11793578,731505,3072183
bwaves,0.6219399062780787,16.47530689801606,6.0799936816000715,0.43256974260473063,0.0,24.337189312956383,7.703714692779078,0.2687599734323573,0.21564339483698286,1.0726390469141818,4411.598409949023,16783434,295413,4080385
fotonik3d,0.41183508926705603,18.113917095754648,9.767054865702995,0.5607674553461214,0.0,24.83751058288552,7.79445559484688,0.282067933582416,0.22868128467115914,1.0743616999553334,4373.081298303327,17764239,1477899,4735912

triangle,0.6841177367421419,8.921282351182672,7.713968672860314,0.8697923523022839,0.0,21.82108810090269,7.265631848868729,0.37873232817375485,0.30853345136022936,1.1129929658293223,4508.545736589871,9456913,800851,3782530
pagerankdelta,0.40552489669827124,19.413344894618454,8.101617418983826,0.4372524923138533,0.0,25.852294276977343,7.7250383475814,0.22883859364902606,0.18367708209084394,1.0585629819986453,4352.160881453611,18856959,933321,5199266
radii,0.22111169054340776,44.92152678841142,16.02313475965298,0.3635314114368723,0.0,23.525063235464202,6.900105371524164,0.25084044100337616,0.19915814941924842,1.0689870281483795,4443.097551134656,43680327,1024992,11357064
bc,0.31308738472924663,25.449287252899214,19.622274803777252,0.7714977982228512,0.0,29.31171817836932,7.980651589272846,0.42144655491324745,0.3593359175482169,1.1073550557731398,4285.906687170575,25929070,3432487,9993221
cf,0.3200997733321686,16.132844474936345,16.058608549267394,0.9969419446739303,0.0,25.14816069846912,7.874983011433217,0.37496734451173447,0.30278040702269354,1.1154930656105475,4558.757527485063,15884117,4445423,329235
mis,0.4127574315798823,19.40186513814028,10.744344677669659,0.5542438639832561,0.0,25.9714134585631,7.55482385344701,0.3134844296998197,0.2603055692221833,1.0774619874307931,4282.01724721237,18665965,791280,7949498
pagerank,0.28645906168406005,36.417077339401715,10.860044891399552,0.29830565971527173,0.0,27.291251252363182,7.616997733763368,0.2122355643613573,0.17174325924471087,1.0514015399588574,4287.666605433034,40456232,978308,6071738
bellmanford,0.3471249586062859,29.43309185780588,3.255407430822592,0.11118035533643301,0.0,24.652535061550292,7.613212866555743,0.07969034880777837,0.06093358116798254,1.0203809311523542,4403.776792920702,29598303,108854,2292045

scale,0.24854933463287787,41.83219549418381,20.94233619764416,0.5006258619234749,0.0,29.568943689595308,7.99599335944249,0.3512958982888615,0.297744706598936,1.0825510298896974,4214.9395189851375,41537840,418427,17670370
add,0.17873674435763576,62.71254137674628,20.890192212759857,0.33310889750143124,0.0,28.174988153608005,7.981205003159545,0.25846674960975496,0.2102795455079179,1.0649832007890108,4319.807048211738,62408537,706496,15464048
copy,0.21413575656922934,50.283984166537024,25.149813592813665,0.5001515132230897,0.0,29.853056011408714,7.997828822210426,0.3592135755809046,0.30614000386194884,1.0828256805956362,4192.809637804972,49966033,543667,21558549
triad,0.20796222414042587,53.67626118401017,17.926778593140686,0.3339791641433443,0.0,28.834149045406278,7.984530223996565,0.2526548718023103,0.20816749375149748,1.0595272202524413,4243.662352334214,53393995,176652,15779466

whiskey,0.779460507204094,11.93056221641513,5.142002365022438,0.4554922521731264,0.0,26.579161958443148,7.824448864521342,0.2810183472473165,0.22767259699994322,1.07419626084078,4375.437553754593,12575679,629285,2669644
charlie,0.7749339433029869,12.195195821854949,5.359473683006579,0.45472955093699075,0.0,26.987855984241257,7.672224756032654,0.2873925056088384,0.23443408075791128,1.0743164017607951,4346.111235268201,16789943,657515,4018379
merced,0.6928439816302207,14.141358965161698,5.744422406653136,0.42505234376206735,0.0,26.146764564705087,7.714748519052409,0.27739405728238264,0.22497240138100072,1.0725452875522052,4364.1280772784385,12070609,455693,2985750
delta,0.5901283323813811,18.244633593083414,5.123696160335317,0.2836459803607525,0.0,28.232232327286788,7.954643611869236,0.2096422347271006,0.16918225911868373,1.051191975819263,4298.5297576920175,18934750,434388,4022870

