Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.41615982621877207,19.356640692647872,7.2195311326826195,0.3765235984016005,0.0,19.96056425352569,6.985545820613575,0.22522781243755713,0.17016433423443897,1.0710705405886558,4678.272274256033,17509457,947406,1597232
roms,0.7782833568757653,7.941403913153461,2.697153692685484,0.3473162432234055,0.0,8.643714845921433,3.919138635726789,0.2156763848613575,0.12343999343505478,1.1175999162157044,6443.873494419812,6358484,349162,437929
cam4,1.0521016018163314,5.695220934647758,3.7813486932797695,0.7061172432128733,0.0,19.20600197311253,6.813444106036659,0.30577343267210594,0.23165198525334135,1.1067683821206398,4820.9697452529335,5541379,748284,544710
lbm,0.2682738186225867,33.796139829280186,25.348578274714157,0.7502326573054727,0.0,29.601206753403446,7.9998810151989,0.4829176223799803,0.4101794333478628,1.1406704080052203,4431.729942255638,35663612,5357567,3697926
omnetpp,0.49496239929805885,12.01982928382834,5.422833641543328,0.48927026864562695,0.0,19.425539694180507,7.328925798700208,0.19995615425258242,0.1504156403895878,1.0619222485446569,4658.525082020078,11784168,878460,1123047
bwaves,0.6170903028463485,16.63333195014245,6.082043673974454,0.43384871222152377,0.0,23.406026572907546,7.74790993256684,0.283193495134704,0.2169799761508964,1.09237293263159,4704.879303112543,16909410,523917,1861572
fotonik3d,0.4096612010511048,18.164498764625154,9.7472060916079,0.5599123155771827,0.0,24.3432152497847,7.800472497613217,0.2914837612997413,0.22932584936654238,1.087729692755137,4562.430671865593,17805242,1684398,1663823

triangle,0.6839838283942606,8.961577460448675,7.365384871105765,0.8240793122290362,0.0,21.41829161710628,7.206199018683367,0.37528017873418246,0.2994417965983688,1.121395831465934,4637.84344199251,9476452,1390503,1448237
pagerankdelta,0.4067623651736781,19.401929334300828,7.971474910320907,0.43026993430489147,0.0,25.401786264180167,7.696362866829993,0.23515124878459923,0.18298732436465023,1.0682016206956693,4529.950484696998,18846869,1319212,2017181
radii,0.22062413988581972,44.84173906296573,15.920287320896767,0.361164533818197,0.0,22.5682299970768,6.72726405925027,0.2584222478900195,0.1994032966497883,1.0795856551417664,4617.092878504864,43620389,1758413,5435893
bc,0.3067124556750585,25.44465643024843,19.63857480361425,0.7722622136463699,0.0,28.3846877503113,7.9759871408324825,0.4396058143734754,0.36207613911166386,1.1383484647956024,4560.922453894949,25925362,4551806,1712797
cf,0.3162372312405974,16.136353174721357,16.06141354923233,0.9969287861512959,0.0,24.193588934853224,7.855862984081536,0.3850023764847524,0.30379298684057326,1.132048298300726,4734.395799996124,15886934,3352020,119537
mis,0.41011072015001643,19.463978201681698,10.594423604326675,0.5450780810870256,0.0,24.45572609439234,7.475914355842608,0.33740605400323254,0.26742951669331233,1.1056099859238098,4603.19554048421,18722654,1222459,3537196
pagerank,0.2841702467818623,36.442294818351634,10.863186073473226,0.2982121748187086,0.0,25.70545722778991,7.533824266583009,0.2280618463146137,0.17342810709840611,1.070774762143023,4646.706246061095,40477825,1293034,2452527
bellmanford,0.3476999065347913,29.44771293925312,3.230746185385076,0.11021910454187163,0.0,24.55234508367312,7.596073519574215,0.08198737148517343,0.06073646412964982,1.0231488181049357,4557.7469044497075,29615282,248990,1222423

scale,0.2439248693008646,41.72356365024801,20.860169791398302,0.49996109814266027,0.0,28.17810332669254,7.997694901990572,0.3780093082219383,0.301745937328086,1.1226117559345479,4640.925409524467,41450866,2146592,6813066
add,0.17843685429180325,62.79947906016317,20.907423514791486,0.3329222778503509,0.0,27.55161518791833,7.992307586654295,0.27968099599468027,0.2146740659615693,1.0902474177019366,4687.296025173833,62478061,2205798,6729226
copy,0.20924819011368895,50.32982072998087,25.15976987420115,0.49989354067713493,0.0,28.4326839072645,7.999389167113213,0.38849062066335144,0.31310540437142653,1.1232772854174389,4599.291025315414,50002730,2836569,7969428
triad,0.20713742830721868,53.624118098893,17.87361368297395,0.33331284349328694,0.0,27.54699675373991,7.9922244144193195,0.2782132572017309,0.21312681836179959,1.0901740569348781,4696.231549705498,53352238,1941261,5746341

whiskey,0.7801226653964891,11.913924524176291,4.9885699563500125,0.4419330901783111,0.0,25.94057114572216,7.785816793030234,0.2860517272755421,0.223795605171948,1.0871997657001424,4585.81267978599,12562257,770189,999121
charlie,0.7765501752390811,12.106799992496544,5.252653644946927,0.44540956447173025,0.0,26.530756848194798,7.65653949193177,0.29664779651535256,0.23453964929126175,1.0883030534579772,4542.434178152329,16720179,901903,1713589
merced,0.6915145239145436,14.091363384660651,5.6530986581371465,0.417858172410607,0.0,25.679823264641584,7.691914223970736,0.289887378531035,0.22764334077083545,1.0876537550218996,4570.660457682612,12033945,640928,1337883
delta,0.5887829904315129,18.245425679120494,5.022708643267442,0.2778637412292961,0.0,27.595764642448827,7.952760857973283,0.21830387704486837,0.16748885242544376,1.065006110593619,4580.80264359346,18937346,653789,1849177

