Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
roms,0.6882330802321897,10.314576235001889,3.5061146844496784,0.34984551324874186,0.0,11.964108372772824,0.218473126929858,0.13848780643513006,1.1023449394395288,5738.7583921234755,0,0,0
cam4,1.0007080608491146,5.771220681588632,3.6220097464593177,0.6642373715932025,0.0,14.194591470658443,0.32725016466962653,0.21604471251888685,1.1652998578529996,5824.891836300839,0,0,0
omnetpp,0.48282428598248667,12.1557615581756,5.446234618763577,0.4858497677459988,0.0,17.059342585083556,0.2133274506232539,0.1500966623288595,1.0803775196484102,5067.166642643955,0,0,0
bwaves,0.608197490374444,19.467721564866064,5.965229492955493,0.436505050165046,0.0,20.364393584568724,0.29836024331729094,0.21423396667767997,1.1198995294071599,5146.898758304374,0,0,0

triangle,0.6190463717964542,9.9124924538343,7.866369331358607,0.797396267841992,0.0,17.749009935947036,0.42520245533274553,0.30700275571832153,1.2056370990291005,5510.411516366507,0,0,0
pagerankdelta,0.3729621853638947,19.726745632368708,10.750489086208427,0.5880720894288329,0.0,25.026154726336657,0.2830826886685085,0.22808645008948952,1.076712108509247,4409.886001475282,0,0,0
mis,0.45258792896807964,20.542819753847255,11.45261431284314,0.5578373225830884,0.0,25.821295224912255,0.3408644841764024,0.27916732619430645,1.0936031460920517,4406.470396498966,0,0,0

whiskey,0.8629559876807874,10.230279131336777,4.490914685635972,0.46899886011590997,0.0,21.54295143277355,0.3221127707140674,0.23304087180599972,1.1313963371192188,5160.651778089766,0,0,0
charlie,0.8398818399829495,12.108289277012922,3.5889747487717676,0.30484031870432193,0.0,22.079162212745985,0.22971566196508625,0.16801760517745318,1.0800977687603412,4873.184170968034,0,0,0
merced,0.5921596506409668,16.21411574388332,6.407659455348946,0.4090641108591919,0.0,21.046088828936654,0.30959613701098293,0.225625457411988,1.1216254486692099,5078.894922639466,0,0,0
delta,0.5311563929127279,19.80912262526328,5.625794718710264,0.29040708028556533,0.0,21.297957640094047,0.258300791859296,0.17598236144951704,1.1109862724757862,5381.201184899201,0,0,0

