Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.3984723136605315,19.33377331983743,7.190893660113829,0.37428226210412224,0.0,15.988281250280046,6.979462786708272,0.26283136195844775,0.1705962680588259,1.125120751399116,5720.325393488119,0,0,0
roms,0.7591436098308865,7.982574289932061,2.701653685835725,0.34677922177107906,0.0,7.7259235337176655,4.031923826086344,0.23935455524075722,0.1243252533429167,1.1512259130589406,7314.03174074398,0,0,0
cam4,0.9844526885835264,5.797904803223237,3.8285049665005815,0.6832105052066069,0.0,15.326985777708483,6.996405302693335,0.3562509973623917,0.23588611982970428,1.1869748567213634,5915.741136553303,0,0,0
lbm,0.24617378302791945,33.830947443311345,25.364292024419523,0.7500986260081072,0.0,24.271223924687483,7.985765493916193,0.5261041164758314,0.4097467313583582,1.2455336481342087,5277.467974318622,0,0,0
omnetpp,0.48389977268341916,12.025588752769602,5.356777399560424,0.48305315439845625,0.0,16.76143119842013,7.239535709477764,0.22179382744214127,0.14963246748533177,1.092727817513481,5345.022734283812,0,0,0
bwaves,0.59046189782084,17.656445206830377,6.128811142745805,0.4373318935924962,0.0,19.613529296298296,7.632888859563318,0.3206069628461974,0.22046187596704578,1.1474037580642447,5506.424124254112,0,0,0
fotonik3d,0.39198509476092425,18.137489562773755,9.748546103771808,0.559371347854197,0.0,20.523495985151094,7.701991562998922,0.3221283137701997,0.229237762779085,1.1370326462634177,5272.658113511027,0,0,0

triangle,0.6515830263672173,8.909013452515055,7.23890357807604,0.8146382216590414,0.0,17.330047800970206,7.256225199562746,0.43244637069831354,0.30442599957160577,1.2255652409169209,5745.143634490236,0,0,0
pagerankdelta,0.3911499552503201,19.413025911609587,7.9286948810695765,0.4282320214048633,0.0,20.748099198920308,7.6516372473628325,0.26374117754588716,0.18194885995389978,1.111091799646428,5314.868018002962,0,0,0
radii,0.21151186706769004,44.7902423893264,15.899634662132764,0.3606661407020403,0.0,19.003671233560112,6.8545128592062925,0.2862874903674972,0.1985920201507373,1.1228722616364328,5341.766144946095,0,0,0
bc,0.27813745559647834,25.448767240549802,19.644659803553402,0.7723812218470503,0.0,21.087888173148293,7.9444559932123795,0.5048853189840447,0.36796010875150825,1.2765525149679895,5780.223474470925,0,0,0
cf,0.29123731167126,16.121029533312353,16.046614799417316,0.9969257302177026,0.0,18.811978165537738,7.756171444785215,0.4465553960055357,0.3080909837357364,1.2501865792356415,5979.778880467937,0,0,0
mis,0.38731301356904896,19.41032100887441,10.598581024780152,0.546547804968733,0.0,18.677978520664595,7.472433458071902,0.39340640048788006,0.27083819509364593,1.2020598395578441,5761.97723445296,0,0,0
pagerank,0.2681459935036608,36.4421076527363,10.863941073460957,0.2982313657489897,0.0,17.941809866539284,7.484778032590238,0.27504594307732533,0.17417743697967136,1.139137791056479,5936.1319723631605,0,0,0
bellmanford,0.3425874238214245,29.447799443198033,3.223393657327432,0.11002726707887434,0.0,19.719389329339354,7.499500713963185,0.09401053587663533,0.06049381014648323,1.036994608720514,5318.094222897838,0,0,0

scale,0.22288732678234177,41.74455820517305,20.87237869781905,0.5000019313877062,0.0,19.460043986156926,7.950102177809951,0.43977640609843244,0.30493917835950873,1.240684664492397,5904.64856335553,0,0,0
add,0.16764961264671366,62.61352836071596,20.83164486980222,0.33270132924886725,0.0,18.62878286769712,7.935689187381849,0.3381371022109439,0.2177280358753567,1.1819244842667749,6057.342643847857,0,0,0
copy,0.19042447700716852,50.196615234481435,25.09832484313547,0.49999890431175237,0.0,19.660358164941933,7.966042041048753,0.4505459139958809,0.31479922627952334,1.2470573814521417,5889.870910508968,0,0,0
triad,0.19289920722899329,53.837410282953925,17.96200727547491,0.33363286817321014,0.0,18.64825809239984,7.926825736914482,0.3351305657431529,0.21584500520436573,1.1794120084225526,6042.985075025717,0,0,0

whiskey,0.746436462068067,11.904977681592719,4.949104925763426,0.43826201229414424,0.0,21.35330277582785,7.749514592314943,0.31753009058111065,0.2224562053842268,1.1393085378340526,5366.5558600999575,0,0,0
charlie,0.7381165340548714,12.150257311431206,5.2329573757172625,0.4433586789617164,0.0,21.53285121174835,7.6576221737436985,0.3342593981136432,0.23525789607542685,1.148708824064055,5385.9623740494735,0,0,0
merced,0.6562279580622585,14.119022648738156,5.61278109564852,0.4153634789471683,0.0,20.386329884398847,7.656109825791178,0.32376508719959407,0.22305921907060997,1.1489214268928287,5503.184924586184,0,0,0
delta,0.5639975298668967,18.197563495556356,4.990902393943324,0.2769383426988893,0.0,21.299031786691124,7.902532759711731,0.25188544420608733,0.16649205271502596,1.1141448068744504,5562.437495022193,0,0,0

