Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.4007976298863321,19.307959528478083,7.2050648829176955,0.37528542497403006,0.25614776951807766,15.206150510301402,6.729141441525257,0.23738691081806235,0.16690079368959745,1.0924271011451903,5127.489414738105,0,0,0
roms,0.7555457214494923,7.957317309988515,2.694233692747534,0.3470832528180354,0.23522463936225804,7.1281935136219285,3.7616084554090197,0.208932395647923,0.11929848773363393,1.1133075193841413,6434.279579490829,0,0,0
cam4,0.9985207656990416,5.73599918816888,3.8652024661794786,0.7003382148335731,0.39082549140408174,14.113594874724306,6.66138025611456,0.3195254080828402,0.23400765326364054,1.1256736927947055,5072.263344546631,0,0,0
lbm,0.2500229878079305,33.80121772071543,25.339964524875665,0.7502030291561526,0.15048364277937837,23.408478709332876,7.976311869843367,0.5159041886033208,0.41003198481686737,1.2187009292251432,5060.138460333312,0,0,0
omnetpp,0.46531222383614695,12.015827159257581,5.3612036159699095,0.4831034001130893,0.004491274406987466,17.74158507841543,7.373407793099037,0.21294120171250533,0.1433935383399214,1.0883639996451444,5333.572796967472,0,0,0
bwaves,0.5866436429006162,17.345578452740913,6.081609961989938,0.4341501088880392,0.04530977720656004,19.734844632935438,7.649022874000117,0.31070471459721277,0.2162970377669589,1.1369626034437288,5389.610639287952,0,0,0
fotonik3d,0.3826844225282007,18.075820836098973,9.759707304805854,0.5608534940395319,0.01951449420718169,20.780450502738802,7.72060282931694,0.3157377632138003,0.22439061661639625,1.1334972788012352,5263.277371785988,0,0,0

triangle,0.6554379272462401,8.76452838828897,7.178711088479001,0.8211114131099159,0.3598579249683118,16.541231656547215,7.1899344824825775,0.3825466990205125,0.285740969317227,1.1567822692820968,5110.666107374078,0,0,0
pagerankdelta,0.37986233586208046,19.397171227325945,7.938026170619739,0.42858655585435396,0.03659077290801012,20.915675262922335,7.679981036449593,0.25274307339513963,0.17564609244429769,1.1031733239344195,5238.397628125757,0,0,0
radii,0.2086367442578519,44.84346395273881,15.899752102506197,0.3606899357264349,0.030651257772850493,20.5010273937512,7.334479079122885,0.27747925266100854,0.1944843654173911,1.1148685176851787,5249.082681003997,0,0,0
bc,0.2879374224646512,25.442193121626474,19.63343230366568,0.7721333563267979,0.3919060262341994,19.442221350346635,7.852759572925472,0.4574886494501543,0.35488398095584894,1.1891290723969434,5058.675996670475,0,0,0
cf,0.2805747793454579,16.12584078529515,16.051126129616556,0.9969244244562873,0.40182919779957527,17.014174154358678,7.506107815164004,0.38411376369682304,0.27861119642900317,1.1713020376962686,5328.980642713467,0,0,0
mis,0.3943534534200227,19.35518920310183,10.607932287841354,0.5485338628931972,0.32876803619168526,17.86661623785826,7.44974300848022,0.34866014252013927,0.2575783396657015,1.1398376006142907,5091.548476576373,0,0,0
pagerank,0.2696462495377547,36.43202989590893,10.863874823462034,0.2983069328499977,0.41099782633088494,16.945201718281126,7.509346496814947,0.2390149530413525,0.1681452243304042,1.0931289372822584,5127.738457962743,0,0,0
bellmanford,0.3389248911388182,29.46513643563485,3.2249011572840915,0.11001885857738616,0.005007952541857809,19.981991738984114,7.552623741679964,0.09286586941822852,0.059854059826604994,1.0363913212817295,5306.402916988543,0,0,0

scale,0.2382243818383732,41.82393643285058,20.914047447714882,0.5000484918496781,0.41111785230914977,18.59815774731643,7.912540973874175,0.3943784829194426,0.3030292274317089,1.1508355514316753,4942.604985476867,0,0,0
add,0.17311236368309602,62.569591871596316,20.836483463498354,0.3330127039055625,0.41406665173137686,17.606898382810456,7.8537724318140185,0.29172165263081423,0.21200295712494682,1.1125527778760609,5051.976349896368,0,0,0
copy,0.2041731972351791,50.28864185938427,25.15170362424148,0.5001424886980301,0.42306158521906223,18.493170145912398,7.906819918743128,0.40462805632139287,0.3120306462987726,1.1555286758232028,4944.853274204138,0,0,0
triad,0.20101185886762063,53.801739301994125,17.94963102562961,0.3336243002806777,0.40474871314824723,17.964919420869293,7.877409560567616,0.28814160044918175,0.21041271763617905,1.109191494912541,5012.500733127874,0,0,0

whiskey,0.7406852998422385,11.92789384557707,4.956748650865027,0.43793418351384017,0.04276888971131585,21.619060309432523,7.789920639196557,0.3079296170989319,0.21933857805092674,1.1280087130396235,5225.920906319893,0,0,0
charlie,0.735823467177338,12.124500692227778,5.2313486388338415,0.4434259555145678,0.08701522026851363,21.45798296016372,7.673234366445539,0.3189707635235894,0.22981097247389484,1.1309191827226095,5179.950719209841,0,0,0
merced,0.6614683228501177,14.100623196703204,5.619389887612202,0.41523589778878583,0.13455926481458697,20.42608897542118,7.662797319825809,0.30714596402972966,0.22242858341184094,1.122273056401051,5114.070295886208,0,0,0
delta,0.5662205090409064,18.21121912072058,4.988421150231577,0.2766376227699344,0.1592034636477123,21.266596238526848,7.90799501464641,0.22937236655866475,0.16303177568512167,1.0860864417452702,5042.514651303757,0,0,0

