Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
roms,0.6886520295798282,10.320160983437654,3.5639246257879145,0.35556793795188957,0.0,12.280061079611604,0.2113555893517653,0.13971934571328054,1.090834655861699,5445.4034358186545,0,0,0
cam4,1.0022833576531176,5.787922020473052,3.7339447386238684,0.6811033891503411,0.0,16.22631544627349,0.313496217521493,0.22079415651943737,1.1350350331171815,5318.24004906339,0,0,0
omnetpp,0.4873123284563712,12.123638902882055,5.5749997212500135,0.49803399405843213,0.0,18.662885992863295,0.20223857995062502,0.15243046985095943,1.0624348443630964,4651.6653632287,0,0,0
bwaves,0.6263441551269282,19.612292141338393,6.201544503876439,0.4484613112272883,0.0,23.89485944791466,0.2660908338141894,0.21860393000965953,1.0647040614730614,4276.759214034567,0,0,0

triangle,0.6324292391503453,10.011967741653638,8.408604411397691,0.8444608588717999,0.0,20.484248152067092,0.39162236596608346,0.3077397912523291,1.137879123132061,4778.525427226038,0,0,0
pagerankdelta,0.37271216838265603,19.728834016403223,10.98115901169569,0.6005515412117773,0.0,26.08215594289797,0.27913521135496316,0.2305664883349955,1.0673756351884787,4264.318785993465,0,0,0
mis,0.45240694679814963,20.474381508994007,11.576884768462305,0.5658381765919458,0.0,26.680296356778427,0.3300771801423105,0.2791774580997081,1.0759784866761442,4198.099036139687,0,0,0

whiskey,0.8784933914733785,10.186266296247805,4.598854701074444,0.48314938443524946,0.0,23.75987718470583,0.30300721618800963,0.23475583092558489,1.09792265694509,4676.514341069679,0,0,0
charlie,0.8460717432115878,12.063257489334834,3.709784684668302,0.3165811520893647,0.0,24.46582478962487,0.21859011561678404,0.17212545347267144,1.0594625984041501,4440.02066966145,0,0,0
merced,0.6085844047501162,16.256137413802506,6.590319736387211,0.4205683012194931,0.0,24.436200589646887,0.28442284481876867,0.2284305713177986,1.0782477096921703,4430.397916944852,0,0,0
delta,0.5505399514562984,19.791561156078235,5.72959462757635,0.29655291100454695,0.0,25.93342169574754,0.22734132598985213,0.17774266731709457,1.0641921981090787,4491.8030541425705,0,0,0

