Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.4130719508256759,19.319768766327705,7.5242936653516965,0.391717622394451,0.0,21.138552901572268,7.029238823252745,0.22525121280882324,0.17503659579450892,1.0648140634028813,4521.952519464036,17479794,0,4421662
roms,0.7772172854592191,7.975984620186917,2.7088999525942508,0.34812020678512484,0.0,8.787950678471919,4.0014459796316295,0.2155594305868395,0.12381606442503286,1.1169538773733232,6417.105983978737,6386137,0,1179037
cam4,1.0127057369945742,5.683200556949692,4.094728714171124,0.7536916888482823,0.0,19.037278369688753,6.936184579809408,0.33425995697175565,0.2469958519771842,1.1310783479353805,5051.27859324015,5533823,0,1720385
lbm,0.2655231204403286,33.81472667752388,25.408167055357076,0.7515468310151819,0.0,29.211555503040486,7.9997932974361365,0.48683625801790104,0.41028300784110733,1.1491789928125205,4499.88073323273,35678529,0,10644584
omnetpp,0.49218738600894313,12.016185203166131,5.6430648800848715,0.5091961383020517,0.0,20.04798220363448,7.3966986746431775,0.20413611361152398,0.1555308173089014,1.0610723732209875,4595.81284993173,11776137,0,3095898
bwaves,0.6277283923603489,17.44620359630185,6.090524946707907,0.43637878031359784,0.0,24.938382835662253,7.732247500928127,0.26624069740771705,0.21411175212601427,1.071043658455215,4394.961255392597,17564202,0,4263996
fotonik3d,0.40945889409346875,18.090874858130693,9.782022389952248,0.5616312761644783,0.0,24.291224218625914,7.796744084640346,0.29348379792640944,0.23126097052411376,1.0880699228406578,4556.721982596135,17745879,0,4650732

triangle,0.6714520284396848,9.08562923941372,7.8777086121401,0.8702450899841615,0.0,21.351349447898635,7.233768251642948,0.39816885315058964,0.3186653352504729,1.132102697436512,4668.014820933815,9571346,0,4057075
pagerankdelta,0.406537451181366,19.44731195428891,8.077988679317599,0.4365089475542793,0.0,25.73821540414754,7.678221405057532,0.23345026859786566,0.18438388309655696,1.0640093962482498,4445.604507681445,18879555,0,5080574
radii,0.22201169383189856,44.87991384553004,16.018405789470833,0.36338343982884797,0.0,23.914957384925835,6.848215105461078,0.25028139819630846,0.19965087721177338,1.0675326994191245,4416.2380611367,43648894,0,11544535
bc,0.30079991687168944,25.452701696121366,19.626917303730828,0.7715691475613032,0.0,27.58352351755134,7.970212197456166,0.44238860225468035,0.3585738920393733,1.1503102529005123,4683.323899435558,25931804,0,9725475
cf,0.2964373740148191,16.118772491426363,16.04499483955005,0.9969392805072369,0.0,20.405839007314317,7.846946402288552,0.44843587687276304,0.3128369273952662,1.2458443973996771,5893.320801907386,15872866,0,330868
mis,0.41563269332549574,19.37206913282495,10.736912365788596,0.5546872800341174,0.0,26.5393155028978,7.556883395035115,0.3149393128701902,0.2617167405919381,1.0776903028857752,4279.601071537092,18646382,0,8114930
pagerank,0.2835202619904812,36.43730477669694,10.860056073524088,0.29815582926631395,0.0,26.246800077112702,7.5849745928663275,0.2244648090438249,0.17242468694652233,1.0671022059400568,4584.255076947691,40473861,0,5707309
bellmanford,0.34834987799625866,29.45993571057675,3.2563136645217665,0.11111960902360578,0.0,25.649889293433084,7.589639703924966,0.07938533463853767,0.061125399322570766,1.0198345040580008,4370.812855487282,29624468,0,2308721

scale,0.2516499304589661,41.69587571711929,20.854024895729875,0.5001458627108567,0.0,30.61008535525202,7.99806156824379,0.34975636844857183,0.2987407880816248,1.0784561015157166,4166.65479014243,41428703,0,17689490
add,0.1802498890083111,62.57801285275191,20.85542601537646,0.33327058503552576,0.0,29.133225895529527,7.989341713324713,0.26219839092421254,0.21181055837404486,1.068294554972964,4364.026425976309,62300731,0,14792682
copy,0.21538587655631988,50.27726665308093,25.141949905717688,0.5000621175565496,0.0,30.795746971472525,7.999115225981466,0.3590867647596552,0.30864185150985934,1.078707866332139,4141.544844373647,49960644,0,21662866
triad,0.2108370383795414,53.706544059220825,17.948117253213386,0.334187929392742,0.0,30.24477896523409,7.989735713607972,0.25246214083514323,0.21109217831195337,1.055341628542276,4165.154624154873,53418247,0,15840389

whiskey,0.7755831033546509,11.945988995148513,5.126989916686414,0.4525424725554014,0.0,26.318395168573332,7.8082876164952,0.288225557826349,0.22781172438049566,1.0848777785015133,4529.509454865331,12587876,0,2717376
charlie,0.7719102052339005,12.216638038341156,5.349682386319249,0.45384826252226296,0.0,26.655855740664787,7.611755514344095,0.29431728039283156,0.23495920042231397,1.0841144020127917,4481.386071042534,16808505,0,4005270
merced,0.6921727678830596,14.034008468660145,5.768173613005876,0.4312966061837756,0.0,26.00830068311528,7.656913845892174,0.28484748961796924,0.22819028354167517,1.0792239490930797,4445.706241078469,11985393,0,3085493
delta,0.5924926710573113,18.222813009914134,5.11572491686947,0.2835150495921689,0.0,29.12725530168929,7.958396527627786,0.21018227143184012,0.1692736545175108,1.0517950097024176,4309.746806171168,18916561,0,4069363

