Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.41795590258181387,19.3363477042773,7.372669889409952,0.38344577045923367,0.0,21.39211905240377,7.009483022775223,0.21777213394923758,0.17261287432403433,1.0577315915031242,4403.70824138338,17493091,784475,3430856
roms,0.7809316486181266,7.959407391673496,2.703449935793064,0.34790234875426523,0.0,9.052882231256344,3.9677623405216025,0.20990531004981047,0.12321917076290864,1.1097161395836832,6238.367937265346,6372903,299011,928406
cam4,1.0422070983281089,5.744671435905168,3.9989824300178074,0.727974366961943,0.0,21.388409166204553,7.024613250540653,0.2960706090933192,0.23686218049424976,1.0841113176462307,4471.851697275494,5582583,822212,1260263
lbm,0.2733852788978831,33.80742494310969,25.385967055745578,0.7511388799824716,0.0,30.688692849483466,7.999992124468402,0.4703061825283596,0.4084350257146741,1.1168055106042427,4243.74419607998,35672765,5363456,8265215
omnetpp,0.4961374801590865,12.026840244969515,5.533958618568483,0.49969886011555736,0.0,20.497760618215096,7.369177241101182,0.19603723867976183,0.1528238892842866,1.0537504365556831,4460.659118574023,11792124,841377,2341859
bwaves,0.6239568467302752,16.589591021786244,6.1084598243817805,0.436223498075107,0.0,24.985591377911778,7.750090538652032,0.2710905278282173,0.21730220295333602,1.07379287405145,4420.63513880749,16874795,445528,3292777
fotonik3d,0.41344642118536384,18.037875219994056,9.760827316984487,0.5610045786104962,0.0,25.304459071218808,7.801929933681207,0.2810695495739818,0.2280927457533389,1.0736883571828824,4366.108340711891,17703080,1651605,3673766

triangle,0.6862209137639876,8.803878284103739,7.438607341929594,0.8475996347460691,0.0,23.12601125567543,7.30999168523098,0.3534909100085147,0.2931154563265164,1.093386859700292,4351.383099592229,9337825,1657735,2635787
pagerankdelta,0.4091123995767704,19.42176667140206,8.029906119514026,0.4335844359188942,0.0,26.414999383236335,7.687088902078168,0.22831268132011145,0.1835258385043307,1.058037551909492,4343.580145783147,18864355,1138981,4057309
radii,0.22259923479421234,44.872418104629425,15.963211030505848,0.3621517879249681,0.0,23.713750177131168,6.756449860167871,0.24777039908646775,0.19896184519493104,1.0648851811099456,4376.191756530191,43641765,1374277,9470422
bc,0.31278741655480846,25.450146333464684,19.634247303657528,0.7719438663052853,0.0,29.73978266559966,7.977091862624879,0.4232459127289848,0.3599717131908608,1.1097074141901861,4305.730321470176,25929754,4492343,6006372
cf,0.32264968188509485,16.13904151158015,16.064301089356988,0.9969341312980263,0.0,25.652361423796307,7.877489143120107,0.37610363769640714,0.3050018155569041,1.1139641556443383,4533.047458880292,15889084,4194569,266153
mis,0.4159551218832853,19.390469828909335,10.61586231422241,0.548154302322812,0.0,26.143651063367457,7.501159672151797,0.3171371296481717,0.2630027647724213,1.0792756016268081,4294.702415371337,18654404,1068916,6325334
pagerank,0.2881083401885553,36.437513234828494,10.86191103276178,0.2981972501566135,0.0,27.472814235886297,7.533669935032561,0.21489434452015851,0.1729657691811564,1.0534050099452872,4318.909889822567,40472211,1318214,4464961
bellmanford,0.3485624717531236,29.446558934326344,3.241186197330724,0.11068247310059932,0.0,25.578400631359735,7.587509294581777,0.0792528510448187,0.06086618522613587,1.019969288897117,4382.680853344975,29613016,158912,1961339

scale,0.24877451935413677,41.79303476104246,20.905887343205844,0.5002233173190305,0.0,30.01989713069017,7.997621466985659,0.3561478564847595,0.29907686042266485,1.0886399100117987,4278.048594684153,41506486,946843,14066241
add,0.18097443590284917,62.72250607078089,20.88400481726496,0.33295775816680684,0.0,29.490177926164428,7.99046091980993,0.2603069911305618,0.2126013788674455,1.064493799037023,4301.073172506902,62416438,880353,14224224
copy,0.21413647175312822,50.18086223079693,25.08620987456895,0.4999134011804093,0.0,30.29470695011716,7.999382817716843,0.3639284655793306,0.3076737856058298,1.0884408072509286,4248.584759515287,49883413,1181295,17105231
triad,0.209837357724795,53.652665514434595,17.893236182900363,0.33350106328503576,0.0,29.432149751135185,7.990450864567219,0.25987881438733035,0.21131448627963909,1.0656167247360848,4324.7058563819055,53375111,722213,12195066

whiskey,0.7854857896268798,11.91189017328017,5.057449867241941,0.4485856053598416,0.0,27.041487096057537,7.79416002004668,0.27941053165577723,0.2257812658804489,1.0744241598459081,4387.777263245312,12560597,723708,2045021
charlie,0.7821320773009858,12.177991195435538,5.297528690402802,0.44912733273647837,0.0,27.585883075095275,7.6352500317247065,0.2854411273387241,0.2331809668731483,1.0731362557586615,4335.031491806439,16776406,800161,3187217
merced,0.6986970551954975,14.063748682049427,5.699452464378422,0.4241605721061772,0.0,26.68138339113812,7.6599464112594395,0.27605257517122006,0.22463650099610963,1.0710218344754396,4343.339140031433,12007515,586070,2402180
delta,0.594269235585396,18.217699842590683,5.055546174166808,0.28012302748967766,0.0,29.16094230024885,7.959378119252046,0.2087386534626437,0.16799831576481142,1.051487840112646,4311.3784272075445,18915649,547260,3246430

