Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.41844601809678755,19.365571842830306,7.222316168748943,0.376015252368426,0.0,20.392243561138066,6.970902467670866,0.21978370114425094,0.1701411442396523,1.063626659655026,4534.081137751341,17516449,2032628,0
roms,0.7826935855158462,7.970143795854742,2.6982862027799914,0.34684460169483355,0.0,8.79643497221776,3.9209241804478596,0.21592395037509132,0.12416806886951562,1.1170242115538034,6410.1385536838425,6381487,630094,0
cam4,1.066734092806234,5.712950821437868,3.7460312078571487,0.7063139243179442,0.0,19.32118033714562,6.679314915873666,0.29432683056377956,0.22892622481766736,1.0926783227402033,4635.969547771391,5560456,1332572,0
lbm,0.27259863582542454,33.77768834202387,25.337868306587303,0.7501846382186383,0.0,30.511932887883376,7.999973897086649,0.4742638638689594,0.4094906206609997,1.1232048526940421,4292.882360123521,35648866,8713672,0
omnetpp,0.4966498488649311,12.053254985260573,5.41062494589375,0.48731719975839605,0.0,19.73967932818234,7.325195339648987,0.19589029959994092,0.14982204456394663,1.0572910076984203,4561.89924823842,11815115,1654094,0
bwaves,0.6119646460885614,16.29401879656541,6.098977431386504,0.43150344022498544,0.0,23.58760613741952,7.75229359387059,0.27781766026393284,0.21242001292343082,1.0905555892773597,4706.8045684706985,16638662,1426156,0
fotonik3d,0.41256029410859296,18.15069836135856,9.75952481700891,0.5605172344106274,0.0,24.90920024401722,7.8134761337340155,0.28676622921741124,0.22963993560832652,1.0800947682923139,4450.987674092746,17793079,2988674,0

triangle,0.6581493302645347,9.375370310921543,7.76133480596663,0.8318435159921471,0.0,23.53192382549187,7.355636542649968,0.3505754897256859,0.2937496133687444,1.087501896614494,4283.001323870185,9795644,3269372,0
pagerankdelta,0.4084999449339128,19.42942784063612,7.941696120947438,0.42911401681305683,0.0,25.638825836408415,7.666398964895096,0.2319249085085196,0.1823150121497275,1.0645899039148081,4469.112079173262,18867805,2534931,0
radii,0.22134928707516227,44.72299980492546,15.911824622094166,0.36118177106085486,0.0,22.90878031271516,6.743553123839957,0.2574632606780944,0.19969481276908038,1.077798773918943,4585.641576626188,43511869,4433908,0
bc,0.3152499524375692,25.444043745400524,19.641279803587203,0.7723794806224131,0.0,29.878910977434316,7.987864961860533,0.42844258855367207,0.36385194037913776,1.1130081543533614,4324.941378565959,25924877,7383092,0
cf,0.3247499153194626,16.111530188189555,16.03768229952897,0.9969223964964676,0.0,26.07590964262254,7.883108239653287,0.37315178096676965,0.30507264892516783,1.1086054486149746,4474.795517369795,15867056,4564746,0
mis,0.41418435338872417,19.26446094242492,10.51968105275598,0.5465602452529617,0.0,25.66847006331304,7.520982976856404,0.3160568046058235,0.2565452966578785,1.0870123547521322,4419.259539826837,18557119,3649673,0
pagerank,0.2872341219221499,36.41288744960565,10.863676019146885,0.29843161464034196,0.0,26.90114186330552,7.508406508904448,0.21949969242851158,0.17347674125177506,1.058965961614975,4421.693155666343,40454156,3150815,0
bellmanford,0.34753747887122227,29.43699391018921,3.22169120972886,0.11010489974884398,0.0,24.031223301055388,7.539506130330814,0.08316843453114633,0.0606050517560378,1.0246101722769219,4640.046186921233,29601434,692561,0

scale,0.24589948066278672,41.80753725162657,20.91220369771949,0.500200606306737,0.0,28.63549774370022,7.997387862132124,0.3773410186522088,0.3040234520625983,1.117749151278456,4578.099424839432,41518109,5813336,0
add,0.17944976311852545,62.592170627982405,20.833246067709098,0.3328407070572683,0.0,27.267477002943224,7.996428223421367,0.28577249542743993,0.21628438184966017,1.0972912876260148,4784.440283760386,62312081,5114064,0
copy,0.21119845417167873,50.34410128123664,25.180979811142652,0.500173442494223,0.0,28.7858588152419,7.999462169993273,0.3875697005570715,0.3145245120369335,1.119271023309233,4551.394921087265,50014131,7118726,0
triad,0.20789931274495274,53.81189775889508,17.95453613778415,0.3336524685635809,0.0,27.726744343567336,7.996004327042645,0.2786580253654379,0.21383068232179026,1.0898704710432106,4686.950419006227,53502601,4728746,0

whiskey,0.784147348672195,11.922673837105215,4.983089869193891,0.44063173760115587,0.0,26.48530242195004,7.779459635566321,0.27888006292852213,0.22209872235431125,1.078740494687755,4469.946543209133,12569000,1446423,0
charlie,0.7816612973704842,12.163055845441747,5.240392454146566,0.4450987122513269,0.0,26.9808188954277,7.613617372252394,0.28938819576920494,0.23242803604964546,1.0801565065207666,4438.05750809696,16759897,1906832,0
merced,0.6976004715172883,14.054827779052385,5.632191151436655,0.4175303219524291,0.0,26.18705423974817,7.678771504490781,0.2834277234373763,0.22637698323249894,1.0796161700234177,4460.601035165488,12001257,1457330,0
delta,0.593019067046319,18.20442058783549,5.009673649806527,0.2778378289192278,0.0,28.12102541071493,7.958827495403616,0.2159528290155475,0.16751221011627784,1.0617827864086895,4517.1243816026945,18904887,1638790,0

