Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6295255522369302,15.642095881439428,6.121594862264115,0.43864046138399077,0.04294128601219342,24.279531627178216,7.700678747469375,0.27568909626169025,0.2203673476095426,1.0763784562217982,4443.7670247705055,16117450,366284,3070755
fotonik3d,0.4091324748603264,17.957755828448743,9.777456078894518,0.5598993321978775,0.008468625436760264,25.06943168098698,7.766099217029174,0.280717473764292,0.22738067050648006,1.0741527860226838,4376.187317636936,17639754,1479199,4638789
wrf,0.4100744892331947,19.297354412345545,7.403632379690974,0.3874881537175443,0.07091163639518117,20.85307369949264,7.025079413836428,0.21578463079980956,0.16993339626212142,1.0584676561292736,4435.405220342852,17461349,836182,3180809
omnetpp,0.49773739986525745,12.03938761632805,5.669524929130938,0.5118285059325058,0.00223058363233126,18.183340517013782,7.113271913132756,0.203002022433522,0.15749137110844094,1.057102593238745,4496.500839135554,11804457,794976,2949591
roms,0.7813447096114532,7.960157138607755,2.705782449266579,0.34752787125279355,0.1397548016003834,9.513059464766421,4.090810101452873,0.20294961652692958,0.12277115004732317,1.100593975164075,6003.8935280274745,6373549,254047,699977
lbm,0.26516212296552844,33.81168317336189,25.340098274873156,0.7503310537872231,0.04066806155773112,29.127684028820493,7.9958308500947926,0.4653913109882404,0.399227467902114,1.123761256496658,4323.006128774458,35675693,5827041,6658861
cam4,1.057207267004513,5.750022729358641,4.091399938629001,0.7462126479888562,0.08875805050009164,20.185692148816575,6.944584515730693,0.3111894291596425,0.24716481767124251,1.092949519358115,4541.007586645158,5588883,943661,1206391

bc,0.31211241638750364,25.458202756356755,19.640034607199308,0.7719308899052234,0.0962136790766984,28.11819538845237,7.9755073108788235,0.4259932580531184,0.3605562366318685,1.114000440481421,4343.391891104064,25936122,4357089,6331277
pagerankdelta,0.40496237690864834,19.431867835329882,8.087883588242327,0.4367533820624379,0.00982720642644138,25.67425216267476,7.730166296702864,0.2280572730302337,0.18307721908559454,1.0582686414071245,4350.302804488257,18872808,1013721,4865278
radii,0.21978709637141436,44.68952190784041,16.019153529736638,0.36371528681938387,0.009949360777791976,26.230414262922295,7.60362094952552,0.24855255254981146,0.19805756115552245,1.0671969697490205,4419.624006667643,43524827,1088220,11058273
mis,0.42494483040389935,19.526837147226253,10.717589772251218,0.5491507225460089,0.05471622177906791,26.69175797492059,7.8353003855752155,0.3330267575988079,0.27684246354356873,1.0842377032292454,4304.12493480344,18762215,1201043,6314306
cf,0.29452174751275295,16.184919404088195,16.131869758021953,0.9969344574582972,0.10561261081308834,24.048629988416515,7.694792925813866,0.34343030983634953,0.27671232587088324,1.1016159974561677,4511.846239772574,15926220,5036595,314219
bellmanford,0.34421240967716604,29.451697178926384,3.2549349145579587,0.11106454420529642,0.0021958916559622777,24.496042828787544,7.628554614192346,0.07865085939152922,0.06036784594806224,1.0198437407033263,4384.75535763387,29623153,118935,2238649
pagerank,0.2845091955360642,36.375313824118116,10.86061107351507,0.29866183105560357,0.08391815921117726,25.2317251513498,7.737870315839305,0.2174085329372361,0.17205541969389404,1.0579524760390784,4411.52076039919,40421614,1470535,4106332
triangle,0.6822650781005046,9.362494434542882,8.178183606881786,0.8775486115516893,0.045096384829778555,26.924531995497862,7.857253513016596,0.38609399507636416,0.3274898277294434,1.0954611404301389,4261.928392107844,9744750,2093057,3031379

add,0.17918676728381708,62.713872667699434,20.888037447779908,0.3330675040697071,0.15061586375309371,25.29679724453814,7.942414750651574,0.2707498997874975,0.21341825511290757,1.0786172599193111,4515.626833779861,62409614,1246879,9956275
triad,0.2093866948786384,53.734234077034564,17.95762734287076,0.3341920545716909,0.08499943482243229,27.15692059948651,7.954401924036059,0.2599093404990731,0.21101357056204642,1.0660672706908625,4333.213137425865,53440264,639021,12075633
scale,0.25098732635866255,41.71778252590243,20.877183645614082,0.5004381222049934,0.11369954678408956,27.24827152306429,7.9751087373920555,0.36553033165375814,0.3036928352332161,1.0974632823373933,4359.059662920292,41445544,1095550,11565595
copy,0.2126249206286679,50.046649215165665,25.062394874688025,0.5007804715078945,0.12655679802235348,26.88381023984722,7.97803483469251,0.3738224046939482,0.3098516068601375,1.1021607900272192,4388.038918068285,49775189,1208047,12714138

delta,0.6026078575798088,18.200742588708763,5.034093617855042,0.2790783296580481,0.0428238386308074,23.76170790954358,7.5466173613435386,0.21850134915019062,0.17093617948539783,1.06086404578315,4475.007840289029,18898879,560868,3166932
merced,0.7093488518423386,14.113935429103568,5.819399883612002,0.42880728900179194,0.038832916351754274,24.82299308396356,7.625499213249904,0.2884074528090473,0.23360573475177204,1.0770127768673348,4387.910636835412,12050413,570225,2657668
whiskey,0.8070808863182537,11.905078475192056,5.160253646794927,0.4538279683017632,0.015110115252887989,26.359123695469087,7.787272210459519,0.2914745771235604,0.23662252368269962,1.0774171986915795,4379.680631015481,12556251,663519,2520002
charlie,0.7929607223933399,12.12575673227246,5.358327379437634,0.4544851370475624,0.026864474445350908,25.945325027070332,7.610839684898269,0.2965687078739189,0.24095734568055288,1.079057276546916,4382.718652415329,16724407,757975,3610444

