Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5995611953691894,15.493983494624601,6.143169861778678,0.4397705746827335,0.05560853049545264,24.75653664427817,7.758071563533502,0.2580528870029882,0.20498871152826306,1.0715201589778796,4451.363520788127,15998247,395465,3011045
fotonik3d,0.385151814519389,17.92001183192916,9.835056065592699,0.5603411623494483,0.009141957633755991,25.75567843253718,7.808678634360569,0.2669927902960681,0.21596454213037322,1.069614933509734,4363.736103695391,17610425,1441479,4875967
wrf,0.3994619679580118,19.372960520123062,7.475437415901329,0.38806707768654697,0.06119879387753026,20.894947460277344,7.077828372924304,0.213315554820446,0.1673556106394898,1.0584223375237403,4452.000300985728,17521908,795033,3420821
omnetpp,0.4819123576625891,12.043121284046665,5.675076179061548,0.5113994934960208,0.001942065288307599,18.80932411914365,7.187290763762114,0.19668666698024218,0.1523336048772249,1.0552126552366414,4496.0707056579195,11807405,784986,2988151
roms,0.7500538060544524,7.916344505644026,2.713948699113462,0.34832547292027943,0.1223663106253044,10.051696023815484,4.187180236361219,0.19066945841982694,0.1175635685269274,1.090328841106335,5835.5233716185685,6338650,253121,797291
lbm,0.26453696148518757,33.79772852398935,25.346039588126857,0.750514032530095,0.03980760388820549,29.23496156036849,7.997494589015248,0.46432905577478734,0.39782642631790816,1.124148285759773,4329.819327989698,35664519,5744442,7277449
cam4,1.0814563536865327,5.7429741960284435,4.083064938754026,0.7455013076419743,0.0768883513344023,18.172035890703064,6.676107827115488,0.3239854438983087,0.2556990818102479,1.1010131534472294,4603.655077741843,5583079,949678,1198552

bc,0.3143122657400489,25.46627976201036,19.644140857117183,0.7718407930681777,0.0975906482236118,27.84300264630557,7.968873650154276,0.4293667135888756,0.36340002849006203,1.1156025886847523,4349.775764313444,25942592,4441307,5995000
pagerankdelta,0.38799918921807586,19.305759807840023,8.11502732755567,0.4371638666029823,0.009328609650411209,25.4854797395327,7.7273334138765835,0.21979224476494164,0.17590854297786712,1.0562461748074439,4355.164085395891,18772007,963699,5046392
radii,0.21419712035416086,44.55949170300855,16.050941109554266,0.36444539063501796,0.010184554795222846,26.383503676823626,7.631659996461552,0.23959013401465534,0.19191992631091503,1.0626901488738167,4377.936487681058,43419991,980358,11479127
mis,0.4426996445949641,18.812456959585067,10.572132341418015,0.5621041690066334,0.04832921995768978,26.747876739500853,7.843964823950826,0.3231017865656649,0.26859533389664403,1.080523853641857,4289.327376477735,18192389,1206575,6300793
cf,0.28847962849454667,16.204728524948273,16.15045104811936,0.9969649746359752,0.09680507746653108,23.156128849786818,7.593079675180949,0.33648760365018004,0.26938985264861837,1.1011250903083145,4538.772710762493,15942297,5054228,311961
bellmanford,0.32382244642837016,29.512224138310327,3.1866199283010515,0.10856978199214896,0.0026757030112502813,24.17894911542885,7.607196293025979,0.07263319688941403,0.05541706765639341,1.0185645304266597,4405.488850255129,29672114,122225,2162039
pagerank,0.2821861882554973,36.36076782459193,10.860619823514927,0.2987785784412338,0.07719092045093648,24.46226274248737,7.712675437576908,0.2167835996952048,0.17103218675279866,1.058414779012035,4427.0906044038,40409985,1486713,4062476
triangle,0.6892943695571331,9.35944980535526,8.155576107277419,0.8749908302773179,0.04143550038903926,26.23797027580056,7.818122263945817,0.38881217228013765,0.3286810320952994,1.0983840604436894,4287.788669746053,9741801,2100769,2996991

add,0.18089908926236192,62.673460856060146,20.871054895644725,0.33301087001353596,0.1305178060385979,25.601177266121717,7.944238912470603,0.26924150892039167,0.21399452184040008,1.075602251296965,4465.858953464499,62377355,1156707,10525186
triad,0.20982196908034945,53.952684435253296,18.02720495493199,0.33412545205096195,0.07939664042388361,27.131520749668713,7.946348348847672,0.2623204420069969,0.21356901144719817,1.0660875444243518,4321.163581376037,53615420,660148,12073665
scale,0.2523498117456775,41.72841663723859,20.884602265048226,0.5004883508879538,0.10329237761108355,27.361942505586356,7.974576405762182,0.3669694895342633,0.30561687159690654,1.0969188955714284,4346.514067481055,41454052,1118837,11676409
copy,0.21214994107941446,50.04408021870431,25.064367374678163,0.5008456667276545,0.11230332781908808,27.17416823735057,7.9784811220267375,0.3716837609430747,0.3087668200962871,1.1001357866243011,4370.218930120618,49773148,1098742,13328585

delta,0.602994648078658,18.220590580221312,5.030544867948197,0.2787527719008305,0.03903486549659552,22.014320242311726,7.3282434243496315,0.2218860193367682,0.17164690453658138,1.0645652385751572,4541.29991084465,18914935,561135,3157036
merced,0.7040047593066219,14.065036129201406,5.816757383664853,0.4296242994171173,0.03509875831354449,24.87188896065525,7.644400512484284,0.28694465151583776,0.23198859198981578,1.0770712394807072,4396.325849925839,12011255,565469,2693792
whiskey,0.7930560701463083,11.909125528336583,5.157772371055691,0.45405125248141415,0.014758263329359377,26.283782737820733,7.796895900916619,0.2867460230533124,0.23200351695355415,1.0767503692500968,4391.691289214482,12559470,668508,2488358
charlie,0.7843584194304537,12.126404501026492,5.371524858997472,0.4548365746939007,0.024908946706237854,25.921875957333093,7.61174963275368,0.29486314890757276,0.23946505231906992,1.0785636100321205,4382.662837834693,16724787,756657,3629327

