Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.55815231294567,15.29738631788629,6.117304915887058,0.43721830950682633,0.03362919566043526,25.665169754844634,7.782406635059187,0.2534527538470305,0.194815833822933,1.07854415152726,4630.465265341519,15843833,357412,3813530
fotonik3d,0.35800998346252694,18.041061860476802,9.772611140058125,0.5602708962791857,0.006540363159281051,26.25462197207805,7.851344433677619,0.26174421501149797,0.20036300367188745,1.0831435561870557,4669.383221398477,17708468,1500725,4737670
wrf,0.3716613440900551,19.27664497446861,7.497841137532383,0.39129454279202763,0.03558991737144997,22.517656070085735,7.2120179961482,0.20938399917768782,0.1571930273823425,1.0660130477261553,4685.831554515775,17445530,629294,4300318
omnetpp,0.42617482553658936,12.028551379207522,5.676524907756471,0.5113231593849151,0.0011569801570226988,22.8380005653471,7.565745754038246,0.18843386409665985,0.13601614004471366,1.0645883579082571,4867.031537780596,11795134,765797,3045974
roms,0.7053072297886387,7.960402239384446,2.7051549289896832,0.34826562712222264,0.051469861483963,11.681030709315909,4.667179033409531,0.18087360903220095,0.10931726755447783,1.0873568990899918,5937.074393149376,6373596,264858,1065730
lbm,0.2649225555569892,33.8406310730755,25.41909067807046,0.7515083088503578,0.02934078193811106,29.98578030880776,7.999572871015187,0.4691822863817678,0.4011262011718386,1.128209898546972,4354.761977574631,35699252,5494502,9282095
cam4,0.9709490063570647,5.7262267449467545,4.106208708937913,0.7503810192126882,0.04621601524122235,21.13980950543534,7.0684051555826635,0.30655428160370274,0.23226387991794759,1.1071322523377367,4822.132639993035,5569968,826203,1537418

bc,0.2932374238126099,25.452247500252717,19.625662058422602,0.7715245124227961,0.05598842498181897,28.156753248322314,7.937596722572415,0.4128373179288962,0.3411975773002016,1.1220100371093054,4480.058562099496,25931332,3600921,9196879
pagerankdelta,0.35142496620976343,19.396807667876043,8.09759359817012,0.43735540365991615,0.009258051680562283,26.321563648476616,7.784932692696239,0.21266255067245726,0.16031526825677858,1.0664864632825328,4668.586605743219,18844510,980576,5044902
radii,0.19969904640239605,44.872752340610056,16.02753473955256,0.36372388906734954,0.008909076819540297,26.73610604368895,7.666354578831321,0.2325707908465549,0.1798159969199474,1.068742228335043,4561.563806287118,43673837,1079551,11178431
mis,0.3863609211549777,19.417262564228775,10.617377354011062,0.5485593305664802,0.036932366568476316,26.414877463455756,7.703859533232177,0.3018584756754795,0.2386085351996786,1.0905975912792147,4552.981377934429,18669067,937200,7361470
cf,0.2800618400788425,16.13897806212372,16.064168509037472,0.996947176132104,0.08402532472952864,25.617616680551397,7.892187827186027,0.34000646506596327,0.2650818471252693,1.113523260418274,4713.249392378301,15889154,4560250,318947
bellmanford,0.291912436270503,29.46865267541514,3.2579411848411763,0.11114649179030359,0.0028227380758743016,25.38067969359829,7.686028990976562,0.07250243462489354,0.051386307456639836,1.0227667736892805,4762.069506317832,29636873,119736,2243280
pagerank,0.2597839681480419,36.41343987122731,10.860137391398625,0.2983515734824303,0.04193098113448333,27.793672777483565,7.838162668128216,0.20257516645219106,0.1567709583881317,1.057440157538451,4509.1048101370725,40454420,1111516,5686463
triangle,0.6219967533620139,9.101846888877825,8.003458609939475,0.8856854303802126,0.03563044647585949,23.82092840520837,7.457687998668721,0.36555881319347927,0.29147771600829714,1.1167659015929776,4621.979191184061,9573396,1843214,3651839

add,0.16579981914079198,62.58426625263494,20.853549608995944,0.333207223485784,0.07607614042920477,26.883119843912866,7.96191538441332,0.25162197136472547,0.19599873012381874,1.0743250591446944,4551.3994096928345,62305858,1103672,12821978
triad,0.19107438781989453,53.773996674413446,17.96746595802868,0.3341280453879422,0.04378908870231091,28.174933170375173,7.9579260139801065,0.2443011255495988,0.1933802855607348,1.0673824478379663,4449.86942552348,53472254,256537,15426332
scale,0.2430869901917971,41.82138831321581,20.941546171469202,0.5007365981328077,0.056664575970268596,29.08506000559694,7.990665749035811,0.3584827900674188,0.2955761918197086,1.09805909689363,4394.793926928867,41528495,596115,15248401
copy,0.21087379099376863,50.23227377385152,25.141232311440756,0.5004968018373941,0.044252287759285025,29.56244825893242,7.995758931669334,0.3685337930761671,0.30615652059936194,1.0987816478425252,4364.747656663212,49924448,638390,20556334

delta,0.5689098052873217,18.18701109152931,5.032174911936939,0.2790205676252028,0.00859703610700523,28.037105879944704,7.932245682299742,0.2108774673960536,0.16167845667573266,1.0623464781292888,4572.546646330861,18894768,424379,3937035
merced,0.6653976618210752,14.079597413396046,5.84128866238067,0.4316606632085393,0.012925209396241689,27.13688487993879,7.822193403349203,0.2822300459114181,0.22161933857980312,1.084443082336287,4557.39104491282,12024708,477418,3200477
whiskey,0.7418699206388255,11.897954159467869,5.171908640096941,0.4551625714586823,0.005791607387541619,27.287636868003197,7.864081902146905,0.28486558923846406,0.2220500087471366,1.087837446424143,4605.397711241521,12550661,621886,2753483
charlie,0.7363321655330939,12.18600860943979,5.36690862253592,0.4550169288336167,0.012549968863681083,27.371340068925008,7.755215013720953,0.28861934859946947,0.22603788115242412,1.0879718436590005,4584.329346013196,16783697,700229,3884851

