Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6200280699216326,15.589316591664378,6.127041181070787,0.43699234394853126,0.012550378120701432,23.86827715860401,7.649745187177421,0.27138333937927256,0.21723980288182523,1.0743100445319504,4428.8131534939475,16080984,425543,3332705
fotonik3d,0.4118080075290628,17.93845871630879,9.789368664343025,0.5611586667380342,0.002258333070650243,24.975550004246948,7.776099733077885,0.2828409306879901,0.22964392082067198,1.074177420524503,4365.934978187434,17624271,1523850,4581276
wrf,0.41786152278442007,19.35238490534725,7.4706211192641305,0.3887383614219408,0.024943452663701002,21.345971537031417,7.029281043416104,0.2188502519565101,0.1747509977941024,1.0564542896837144,4366.083503430186,17505943,703020,3956279
omnetpp,0.5004749562851546,12.033472705258465,5.626831165597532,0.5075024473386721,0.000561570962685335,20.099773144837414,7.3286168218667935,0.2004094930899606,0.15681298000540897,1.054523550126961,4447.4032022908095,11799912,802907,2821460
roms,0.783843811643041,7.968995727181193,2.70330617565908,0.34792632918654404,0.03222087816354728,9.513674657098354,4.144269282999819,0.20509909335768725,0.12302763009855382,1.1032474143296753,6069.430468708457,6380468,282658,980538
lbm,0.2717943304064698,33.89149360324202,25.495673176347353,0.7523111582360754,0.020824612433002525,30.338117213871442,7.99965087985852,0.4634390170677402,0.40396174920730843,1.1108490362742993,4205.53578506628,35740268,4787559,11302170
cam4,1.0449143822760378,5.812210945708852,4.098434953892607,0.737997170680871,0.034032242950212885,20.942078644329605,7.054062909659024,0.300966356235908,0.2426049184578727,1.083488739488669,4435.644083656322,5639164,815213,1447007

bc,0.3143749463021303,25.450772589443766,19.628717058353867,0.7716973211645135,0.04413136570257632,28.948998638376867,7.965056480705648,0.4176524988279548,0.3587458801866203,1.1011537244047203,4230.4839692150035,25930152,3764411,8528128
pagerankdelta,0.4085874728457939,19.408332499927536,8.07273737890894,0.43610741621453425,0.00506355417817793,25.762578652909117,7.694689016500318,0.2298941260741619,0.18447711704037828,1.058975019632375,4354.9685939868605,18853474,1043731,4743013
radii,0.22162431339021438,44.82982738482278,15.999292300008847,0.36308574348298933,0.005907537894346898,23.718534090622953,6.918457340775067,0.2483424515230143,0.19883472214456108,1.0658647405041912,4393.137261538283,43642509,1158371,10765777
mis,0.42044464825184125,19.399159220248805,10.647959853590551,0.5498813042300881,0.02525484947049314,24.803695118526406,7.386254517604039,0.3102022542942661,0.25757055623583275,1.0763001885495955,4277.559803004519,18663344,972900,7162662
cf,0.32259969039987707,16.115418374456176,16.040431009393536,0.9969312868512633,0.061990885827001053,25.166160249466724,7.852605469786136,0.368234871579648,0.30178167197029215,1.105186558453319,4450.221087416213,15870277,4491883,301680
bellmanford,0.3488374287856299,29.44848340147322,3.2535899267942265,0.11100179547730091,0.001247862287222212,24.82839762590008,7.599737617084568,0.07992450316034916,0.061180690905565084,1.0203720372069105,4398.8388948822685,29619119,121825,2214577
pagerank,0.2892831375172283,36.43971284046825,10.86054733709179,0.29814377794184926,0.029659876490725365,27.160142027711796,7.59037235117607,0.21252981419307407,0.17307844823170787,1.0500988693571174,4255.210025093118,40477503,1151303,5490520
triangle,0.6824200411234119,8.916194148127127,7.728756095424878,0.8697182033715444,0.024317323121929833,22.1972984696434,7.252891941859451,0.3634697730051417,0.30412254571079494,1.093235520918673,4311.688292666753,9431263,1815588,3167409

add,0.18369961869884904,62.63431810317878,20.870063567386943,0.33320428425639315,0.051958080499003294,27.974713659382175,7.976601053866124,0.26068567740672954,0.21525981202424868,1.061443237327179,4241.943975853931,62345957,969708,13618612
triad,0.21313741860709307,53.630216689437205,17.883141205292148,0.33345258353554746,0.03822538223236073,28.715984638482023,7.979444438639445,0.2564260316707024,0.21311892954324682,1.058241821220235,4201.834531726913,53357082,355491,14275960
scale,0.2554104925225455,41.92907120293742,21.0037998424715,0.5009326244391874,0.037521375773580515,29.713523503268537,7.9927884879688404,0.35655679786829053,0.3058549098716416,1.0787977677418534,4150.182963082871,41614833,792074,14969847
copy,0.21743371304072248,50.384302539687575,25.216189842398812,0.5004682799531897,0.03330219260394739,29.910282601206887,7.996864401690394,0.36489304514816584,0.3137904644288224,1.080462952466432,4146.194429848442,50046576,731218,20131953

delta,0.618171148630674,18.193782718959977,5.040959924385601,0.2795788840840027,0.009949064729976136,27.996458092319898,7.92759374851558,0.21593457482874173,0.17434674682797105,1.053041272661254,4303.954492795023,18897930,469270,3709815
merced,0.7186371894670429,14.04137337627343,5.774453627292861,0.42844496307883334,0.012436798342410765,26.128480360020795,7.686291592966638,0.28461547898284384,0.23368699566497092,1.0711903624158112,4305.311379452992,11993426,513934,2941016
whiskey,0.8100465057221621,11.88955966743836,5.129986173050208,0.4522873579724071,0.0052052833106583235,26.523740505030222,7.790035692550632,0.2911332938595281,0.2368825485369503,1.0765316594116174,4366.159063291836,12544392,649473,2556564
charlie,0.8002391942086381,12.198752051686592,5.333046170004307,0.4526470029053014,0.011026073934158474,26.813378358147496,7.639887902953917,0.29548943150239826,0.24157979531796778,1.0765206919456085,4345.278985720403,16794013,739964,3662383

