Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6125254161793333,17.262080758577266,6.115344885337284,0.4316146798234079,0.0,23.063247344268397,7.691025626832692,0.2776532474425297,0.2145374380142177,1.087376054789269,4644.012417942078,17432409,610929,2087274
fotonik3d,0.4072233793116317,19.071150238045487,9.764493615738212,0.5555891417231881,0.0,23.853217066026495,7.785555843461127,0.29011367102006286,0.22816481812333791,1.0872658767576797,4562.146353977645,18748529,1898171,1994818
wrf,0.4191586484184159,19.158468384266044,7.136851098341914,0.37623044634673714,0.0,20.398266168723445,7.0182437228086565,0.2213797543804244,0.169221216337364,1.0669884174429038,4606.347882057931,17379786,1044416,2028638
omnetpp,0.49789993472886396,12.289424481207195,5.261824901340783,0.4766671505666499,0.0,19.163143639961795,7.310058171841693,0.19425582679961595,0.1465568090757829,1.0591987125819036,4632.969465917244,12038402,967165,1277507
roms,0.7793569656076592,7.970881101510718,2.7005324189840274,0.34747458306446893,0.0,9.172966338281384,4.107172949777699,0.21334601731101455,0.12347436819986157,1.114245463811101,6353.3465048097,6381998,384724,530416
lbm,0.2678856984053944,34.06617548776073,25.364585932942674,0.7505942671447486,0.0,29.153593899338823,7.999043943876111,0.4836722317631785,0.41023519062702346,1.1422295015953357,4444.117730483382,36583977,6192508,3626727
cam4,1.0640783381091319,5.904021250049349,3.6055399459169006,0.6618476505288596,0.0,20.01887379854038,7.136875718069205,0.30522810915930615,0.23285680676396214,1.1041655590121424,4776.21342711494,5776940,612014,653884

bc,0.3086248885942209,25.555871488348096,19.646620832509306,0.7723421431187762,0.0,28.421713721524394,7.976450100532139,0.4359106150363282,0.3619105899497527,1.131184927529422,4496.180141916259,26057533,5160812,2697739
pagerankdelta,0.4058874357033887,19.478498314173223,7.916118660943665,0.4283931338258617,0.0,24.816942679790955,7.716687427259513,0.2318628163395191,0.1809163840079898,1.0663246532198183,4509.792893139709,18946047,1489588,2457643
radii,0.21994933930502322,45.038164195735526,15.938828391376362,0.3614401580112981,0.0,22.396551973101086,6.836925223073237,0.25679747187190394,0.19876677640080906,1.0780819403524593,4596.345434729637,43876611,2138477,6191790
mis,0.4068551984046908,19.460730978677443,10.477751040444979,0.540942184850652,0.0,24.055457310209988,7.439400613292406,0.30855840570172743,0.24638967005196993,1.0899117671867153,4504.225938748069,18715121,1651880,3895005
cf,0.31634989723566254,16.122950175301895,16.04399854945002,0.9969295666782915,0.0,24.44494458161453,7.840657245156054,0.3779672373259965,0.3008809336976333,1.1239264364420027,4659.19958514083,15881916,3927400,164721
bellmanford,0.34823724927174426,29.144861121658288,3.2335149272459143,0.11176896026875584,0.0,23.269723532134655,7.586491747420332,0.08253350164679626,0.06095283751649948,1.023522018699356,4573.487254582088,29255985,273477,1343975
pagerank,0.28547185044341555,36.28547262498945,10.862233587066497,0.29954802644718853,0.0,25.81811523448979,7.539662789808679,0.22132676652564678,0.17297876669859377,1.0620902295707915,4484.525485377259,40295935,1635263,3083708
triangle,0.5080376118101532,15.223189164767344,9.886406064629886,0.6829009283472194,0.0,23.194201418450092,7.5399180493965945,0.4022784282088562,0.3235839213234075,1.1316574649458127,4642.679922241715,14922800,1537460,2278343

add,0.17749981709138835,62.57070565914018,20.8374598958127,0.3330222788736314,0.0,26.444491144715382,7.982702474725876,0.27805031161684224,0.2133143145530586,1.0896682942114195,4687.180093926995,62294995,2632018,7218484
triad,0.2068618705255286,53.79337514795023,17.959692410201537,0.33386336909599185,0.0,27.452010042588352,7.983229023621468,0.2689650021195962,0.21175508205904706,1.0782587977681317,4519.588357094644,53487718,1867254,8607936
scale,0.24726178106286997,41.83344018119245,20.936754790632452,0.500477442589385,0.0,29.176280553712967,7.9937406989996855,0.3559934121205575,0.29710974948488994,1.0914333234222917,4315.55054257453,41538143,1034075,12967334
copy,0.210822731724192,50.30872130034971,25.180889905571664,0.5005219839379963,0.0,28.250011268015406,7.996938144172106,0.3811352795956843,0.3121212064486898,1.1115172199538315,4479.0510168623905,49985697,3429883,9078299

delta,0.5847501089632895,18.72682708430148,4.947053669610378,0.2701022891425328,0.0,26.32097215920991,7.9398192207324225,0.21443076877901837,0.16386339066760283,1.0643703649553846,4596.337171392164,19671008,805661,1733805
merced,0.7077926585540892,13.87334587472016,5.535901125442225,0.42037477694955744,0.0,25.109619478845218,7.710105848272475,0.282870660524169,0.22226228319117347,1.0845152666286053,4554.825496571132,11854654,723613,1402858
whiskey,0.8114878648615665,11.737896460326082,4.898404902031902,0.44417226256589376,0.0,25.792891956112022,7.864164906670214,0.29252246765630996,0.23099299330457074,1.086970216775518,4542.4693548206,12453499,784074,1278392
charlie,0.7775949173529642,12.355292419580056,5.2916898809369775,0.44980080464404887,0.0,25.971927651939875,7.728892810894839,0.29835920705008684,0.23653174975740016,1.088118390370014,4529.393891176543,16903176,1032768,1906805

