Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5967384387813137,15.549262064299418,6.1044249313252195,0.43817817353113264,0.021830416286076588,25.27463743565687,7.75480924785387,0.25639665031161424,0.2064382719056166,1.0671841761161152,4373.966465310001,16052921,383361,3705255
fotonik3d,0.3874845035003893,18.01806970680609,9.773896140043668,0.5601601092593174,0.0036722986081177697,25.810765963988505,7.818768952028392,0.26504597897860044,0.21445616066804826,1.0688339907852265,4359.200952230284,17690100,1484648,4770606
wrf,0.3935234443110802,19.27865122845064,7.508211137376833,0.3911843629128009,0.024695643011482547,22.031790161979657,7.112197254560936,0.20630648234741486,0.16461424711143227,1.0525293886225642,4353.049693427312,17447019,615529,4339429
omnetpp,0.4755748066894913,12.042520378450506,5.678387407726205,0.5116856042600912,0.0006146096041401061,21.196343507422718,7.427585447104077,0.19134461698110897,0.14989228717885683,1.0512608098242064,4428.548210209325,11806342,774399,3025132
roms,0.7498664031961831,7.976639044152185,2.71127368560725,0.3479904090897058,0.03245717834993178,10.25427144442645,4.221360993605142,0.18769662791769598,0.11612205135907917,1.0881131102227712,5804.031407747005,6386607,259892,1089779
lbm,0.27017073575004763,33.91961834828683,25.509298367360525,0.7521844836971104,0.022206198331992055,30.303886577733802,7.999717268778407,0.4658992562071703,0.40565503610075043,1.1127956117016526,4217.591267184481,35762621,4729667,11787054
cam4,1.044232317390621,5.671348259845782,4.004543709954563,0.7640246938783297,0.03587866622492132,18.763509195727845,6.664862615923606,0.3091009569474764,0.24094400827263546,1.0986496498442242,4651.118240373826,5526073,839952,1357069

bc,0.3086121884949098,25.477887299821262,19.646293307958402,0.7714817452716968,0.038554586681175784,28.89781552309224,7.9604626416815005,0.41085799966687037,0.3522985705001594,1.0993978177308672,4231.064801217278,25951866,3533005,9470646
pagerankdelta,0.3793874180025491,19.41995440860864,8.096642338067154,0.43703142594140554,0.006048066495541054,26.000717281246803,7.732165841567509,0.21370092872805077,0.17099137155572902,1.0543171914259457,4348.279396058304,18862984,988975,5014040
radii,0.21072424160377012,44.80608753375042,16.033302239458838,0.36375646847071885,0.00700589041178154,25.274163331884985,7.3192982339518124,0.23516372599764568,0.18847225645572516,1.0610476661855825,4368.896304426365,43620497,1031314,11374085
mis,0.4145567058415894,19.366545973547012,10.694513562846012,0.5532636505873844,0.025053094348347064,25.919074769498152,7.600278278567743,0.30596184664931425,0.25413742744439183,1.0746708505212916,4269.60848780993,18628167,921424,7496138
cf,0.30059897709273875,16.141031349715625,16.06910471879067,0.9969541416654886,0.05345386423633387,26.27296557980329,7.9112227609148125,0.33811053301797045,0.2782478135752137,1.0904421696204178,4372.637933475448,15890817,4670942,324406
bellmanford,0.31419992836674465,29.45917792443502,3.255652443026082,0.11114587161119441,0.001707435460021907,24.896697556585313,7.6181891990085475,0.07195487582553362,0.055007293207807006,1.0182615932956947,4395.550323629442,29629288,122364,2236568
pagerank,0.27679754119046973,36.42354793970234,10.860133641398663,0.29826360059947227,0.025837387702342028,27.476048616560817,7.679022786263388,0.20304767772796256,0.16539613114207688,1.047244415423177,4242.625258643799,40462530,1063774,5876911
triangle,0.6657023397111546,8.821396384118904,7.79727483430791,0.889369658530938,0.02049684338537868,23.18656654001121,7.384254480492224,0.35025654278568835,0.2931845091962152,1.0878377965268968,4288.676821068899,9348642,1820813,3547960

add,0.17378644092977935,62.83452391908629,20.93726851445573,0.33321063089325564,0.049492808083860626,27.8925939790846,7.9709198621940835,0.2474351802100384,0.2034678383879777,1.0584233286832778,4247.555083802418,62506349,845803,14516371
triad,0.20133686625549058,53.77184907024404,17.96413622754483,0.3340795546011664,0.03213914836758947,28.740338439988115,7.973757576990138,0.24220027767441352,0.2013118364153981,1.0539567910285506,4184.485550202839,53470531,234745,15489319
scale,0.253098622492956,41.89705807892567,20.979168461536435,0.5007285674520099,0.03989464813628099,29.557356249295523,7.993883500668302,0.35377539358119126,0.30256906207683876,1.079239216513471,4164.230508894686,41589137,555860,15424541
copy,0.21622391391738383,50.21314335759873,25.13363984291475,0.5005365475552751,0.0340327296068967,29.775158213289615,7.995932088900302,0.3614861810728589,0.30998110216354813,1.0806640003435664,4158.733643037777,49909138,644393,20730323

delta,0.6092944227973014,18.219550462720566,5.054386142594295,0.2796979835712127,0.007565522559185407,28.129801780619395,7.930510971525547,0.21300788349693434,0.17230071026355268,1.0517250076331903,4290.666404847869,18920753,421444,3980056
merced,0.6987888082067831,14.103827749399558,5.851417412228739,0.43121259756930547,0.010758783617325483,26.583193763062063,7.734831849380432,0.27952167937705524,0.2296970881893812,1.0691548791427816,4293.530666714519,12044136,472467,3232427
whiskey,0.7815278452913185,11.894516040903756,5.191497415638167,0.4542645345142554,0.004493333633413651,27.250823108262864,7.838528719648515,0.28495848091177495,0.2329021873291359,1.0728017775093925,4331.53116995626,12547961,599493,2858043
charlie,0.7741186323152164,12.155969809656563,5.377128676064481,0.4557819647911141,0.00981040052892963,27.109532760917332,7.680901779419369,0.28961107545922665,0.23695718063167556,1.0741198138211245,4332.234536879929,16759620,690816,3950698

