Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6212837631631765,15.589482462522712,6.108588643099699,0.43854996317052264,0.012556518602568283,23.865733888367938,7.654085594979657,0.2656788645671036,0.2118433211757903,1.073313351330377,4442.0424210092715,16079100,418453,3453966
fotonik3d,0.41159859213694305,18.15568049418418,9.754674804906504,0.5615508357520618,0.002286990289188587,24.882934343961708,7.779719496062025,0.28089229979671165,0.2272881398103292,1.0745426032445888,4382.285203761274,17798099,1564621,4340857
wrf,0.41763144944537317,19.330878634032473,7.484551119020355,0.3898823881949453,0.02530829449354214,21.448190312772788,7.025061674423306,0.21890952533223562,0.17491403317604584,1.056325731247591,4362.664382851276,17488708,667820,4081920
omnetpp,0.499624901176991,12.037926365068339,5.663103693368963,0.5103241192665904,0.0005233827457942676,20.195062865795023,7.336633705610382,0.2011511182752549,0.15759352141439273,1.0545254526323171,4441.760093129144,11803500,755288,2990910
roms,0.783956426571123,7.965604733518346,2.7065711755692927,0.3481632188395529,0.029633666920862868,9.556054198534799,4.135647498902649,0.20443087877512603,0.12309787706074708,1.102232476782353,6040.64168641413,6377760,259592,1079280
lbm,0.27158489678580683,33.81153833383885,25.41423699171526,0.7518610339249936,0.021331296038551904,30.248184361303338,7.999693337978368,0.46899606191410687,0.4084534844322894,1.1140153078714536,4221.158786290559,35676020,5191749,10131249
cam4,1.0463566363337802,5.715479850689232,3.9930074101573334,0.7260023536395731,0.07164094418162814,19.19389287382318,6.83879400256358,0.30816856025747463,0.2418577605987807,1.0958482021045075,4607.7896122158545,5561408,569339,1221053

bc,0.3146999523355504,25.447463671562993,19.623915808461895,0.7715977467315133,0.04184511391280949,29.068495302416316,7.965806952332305,0.4166146189818035,0.35843220151128874,1.0997323885095778,4218.212372364766,25927507,3517811,9364871
pagerankdelta,0.4084374330587562,19.416907559627827,8.091792307819933,0.43714965121875404,0.004955323932494853,25.818750908728482,7.695264565619409,0.22992291691498754,0.18480856457189238,1.0585842032363333,4346.098004861098,18860835,989413,4968054
radii,0.22161181699127,44.86935133275457,16.02173969959238,0.3635742169799142,0.005847007540440969,23.61301758189471,6.883428329401656,0.24962058181285227,0.19930456263665583,1.0670541035064043,4410.253265874992,43671492,1080623,11118779
mis,0.4197686215978516,19.406282650164847,10.655737300204926,0.5503068923491785,0.02394333719505525,24.97527187112718,7.397103678229451,0.30979026973130086,0.25769290777373055,1.0754804803132647,4266.598526849972,18653741,917427,7409650
cf,0.3230366799320418,16.147987746114026,16.074721008879184,0.9969522656249394,0.05724239675657089,25.42571178225871,7.862407498598499,0.36786688496652503,0.30226157075936316,1.103784017395905,4433.082371490579,15896363,4597374,318815
bellmanford,0.3487874108542578,29.453001072522188,3.2571424633571473,0.1111489041801523,0.0012622306040816931,24.80108668549585,7.591762986136869,0.08004799153043989,0.06125671124303759,1.0204263701958363,4400.402229868666,29621352,116669,2242343
pagerank,0.28952156685577934,36.41323669643067,10.860276032794479,0.2983466460155236,0.028367713078355235,27.40834230717913,7.622295966327873,0.21238532115275932,0.17333915013247245,1.049575220052317,4243.804247612947,40452758,1097325,5699067
triangle,0.6977192261060038,8.814790476504122,7.562961117648181,0.8635729328502377,0.04898587176450868,20.96090419244768,7.1548428541326645,0.37285516516614864,0.3070576777887408,1.1049159360370713,4427.549037091787,9345362,840377,3329009

add,0.18366244640407745,62.557739815596584,20.85326851540073,0.33334421660812646,0.05323973085027123,27.873210525208975,7.975998378659831,0.2603445830100148,0.21483991580896392,1.0615214411411078,4244.9862005446985,62284614,1012360,13370928
triad,0.21299958875435876,53.729844139256386,17.94463361541525,0.33397820173123166,0.03189313754334942,28.98789129591208,7.983072224296269,0.25514526888357103,0.21268679585238362,1.0570023539590712,4184.435572556615,53436858,253535,15128862
scale,0.2563984130727368,41.927435164365725,20.9841297901587,0.5004837643854427,0.039046761150435,29.772822597003707,7.994463862981274,0.35726177461504366,0.3067221339086353,1.0786317643954326,4145.993144342891,41613464,576864,15494452
copy,0.21745950038533776,50.34421311761576,25.196241029532892,0.5004720806275526,0.03272523342571643,29.927895070023474,7.996858437433898,0.3643993548120327,0.31340967341721643,1.0802228282504922,4144.694199576296,50014384,694608,20436538

delta,0.6180339318889664,18.192729761186918,5.0613086677537344,0.28083548592957025,0.008641741197031948,28.166834590370897,7.929358319705537,0.21579449856064767,0.17484344678143698,1.0522197966018447,4285.597870313682,18895520,440156,3893625
merced,0.7171427313014651,14.09187146562833,5.753376120549038,0.42662251057750533,0.014954521677342725,25.802507941118257,7.656311918956712,0.28538162190775856,0.23331479767431304,1.0728596210643842,4330.525075602347,12034410,476065,2900668
whiskey,0.8110863014195883,11.944791144644546,5.128876134600287,0.45566822661356776,0.005060017708886866,26.520629621771505,7.800805891686153,0.29084151677872133,0.2363859398164763,1.0767890087345302,4371.991544931504,12588244,669886,2512275
charlie,0.8008870069409881,12.120735441555407,5.378891135698564,0.4560247575835837,0.009563152936573966,27.068874891788838,7.65533014827399,0.29924249419803983,0.24618944138922358,1.0757081477823078,4314.815608142291,16731655,668028,3999482

