Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5937912418350886,19.244915583991133,3.021971210336628,0.4120004451337693,0.0031252715314301917,23.35691511283159,7.506867935695327,0.2522121621568161,0.20492996837082336,1.0632294233647435,4318.187328883423,38615011,348981,10285641
fotonik3d,0.3937438608574217,20.946241558694343,4.901525530032943,0.5327832835295254,0.00138158969272014,24.47341452358256,7.753473671535813,0.26950962422951735,0.21839949123353805,1.0699668807300453,4357.194341914717,40905011,3905008,7821232
wrf,0.40553697019973367,21.676616814508876,3.823071798538564,0.39269477421084875,0.018891763904223393,18.97568382702145,6.85121193068578,0.22226770242615546,0.17436654537673948,1.061590803415063,4465.645914648152,39302531,2438909,5787207
omnetpp,0.4803059859980171,13.54500071170626,2.8581099481967573,0.5034098961459824,0.00032058982541745447,18.872188071840768,7.265997965354478,0.19627003204316687,0.1526569573239228,1.0542633427370056,4473.015853133714,26621367,2468753,4119954
roms,0.765790771217186,8.210151325902405,1.3593387279107456,0.34969190116076687,0.01627496215705771,10.620574334054167,4.621807962934244,0.19603816030969706,0.12023033259995441,1.0942928183493694,5888.084835365725,13177223,1087458,656451
lbm,0.2728279215325294,48.23864976281964,12.686662831620922,0.7505508963278114,0.010547173218444022,30.65917508045663,7.999790970018708,0.45911905036384065,0.40236824052270365,1.1049229222795003,4160.519317013078,106981985,5253126,34339040
cam4,0.9561894809235819,7.538849260636868,2.3600205748495626,0.7118661929479864,0.053797162407244345,23.117151004559496,7.6174115764225565,0.3132062059324168,0.25317155218508075,1.0874129240332484,4439.395981973675,14943095,1258385,3591222

bc,0.3187873867494927,26.81710744347875,9.824732377190845,0.7723601147487162,0.04200768381250285,29.141001988549405,7.97865361009729,0.4278924393994264,0.36618255344163797,1.1078641329141117,4272.06061640864,54416069,13121650,2311144
pagerankdelta,0.3962181692986841,19.449252970139096,4.091321816187249,0.4375262170246975,0.0034703262927624585,25.58782071609636,7.776129161975164,0.22404877194462325,0.1810964883682374,1.0553543599435098,4308.685422116782,38470889,2128454,10374994
radii,0.2157433969791183,46.55850382913664,8.02986365464537,0.3615176604570659,0.0040854623455385,23.207726358793472,7.0238492711061085,0.25336421593808955,0.19673621042140144,1.0758442157816435,4572.190368734463,91041666,4032100,17966352
mis,0.4129022582790936,19.791138053695068,5.174225524749381,0.545101630907674,0.02597937830755844,22.407615571423893,7.496370109640752,0.29990196647926676,0.2435968286736515,1.0804246478489041,4389.510644889978,38059955,4322992,7099297
cf,0.35959990613695897,32.138943543126175,8.024301724544342,0.9970811095092226,0.004288860861556576,26.449250791184856,7.948031489146494,0.41150873674818295,0.3411451754810066,1.1195660252938497,4456.598163562983,60366503,926286,25702957
bellmanford,0.34083114472795983,30.389168887645145,1.615714959607126,0.10942763729091226,0.0012722764666722088,21.272736406445,7.2058546782792865,0.07909037460011561,0.05947026718130198,1.0213051388297674,4482.2203173208145,60779519,985507,2653419
pagerank,0.2795718428222528,36.856905922563115,5.4318411515478795,0.2965444930567519,0.026199795739674278,23.1121904056408,7.589995877779854,0.2127643050858222,0.16844596904212747,1.0562961465416354,4402.889458523848,81879308,3062024,8807550
triangle,0.687200688550483,9.487989819707249,4.020106799622997,0.8540558074516512,0.031071196357610208,23.597119567318813,7.749959521155702,0.38424675638688843,0.31808034839351834,1.1074560445757775,4414.828215232462,20328328,1698878,6807154

add,0.17703122373736482,82.86329359896783,10.427068580560135,0.3333868751405323,0.03649811770045167,28.811582308005782,7.970563117624179,0.24552587379781224,0.205170578902694,1.053487977246159,4160.310117836329,165343458,1289638,31287792
triad,0.20947462770888606,53.63054320460017,8.968765507284953,0.3344643881469477,0.044309272940060915,28.16294621156025,7.9933288223070456,0.25810096755754874,0.21090892043092668,1.0636097973753358,4295.2747892773705,106714477,6499826,12000766
scale,0.2486868822788584,46.44095407247598,10.514049309287191,0.5034855248741015,0.051503503422772934,28.803404868121458,7.995717419568915,0.3557202582554907,0.3002360011352994,1.0861182705666907,4246.556348324168,91095167,6350381,15244850
copy,0.21411236066014536,50.058616258653885,12.512181828079319,0.4999018898869424,0.07425291737210009,27.68843236487743,7.996289125263764,0.3764769417615409,0.3120102391443558,1.1033910482786515,4393.523277489922,99570286,11360877,6800125

delta,0.5767914391058317,19.540075325765365,2.6522493302432926,0.27154421258622696,0.005560330987742286,28.175118561228324,7.943210750654529,0.20802962147604717,0.16925759912187585,1.0489564046908335,4254.498565015215,41639284,1281317,7660623
merced,0.6602649865825335,16.17732502152041,3.122168699264759,0.4178815041381852,0.014267952598091525,27.102074088712698,7.873441626446354,0.28301276122989816,0.23043501077326234,1.0733315010554805,4350.161399828245,27702293,1241752,5697602
whiskey,0.7648624501877695,13.508208286360166,2.6834368381027436,0.43085833503094334,0.0031825568834084658,27.104753592638673,7.881954001265186,0.28036986834131605,0.22999712731426217,1.069998098760747,4304.333091494839,28078024,1587259,5245489
charlie,0.7825292462492222,12.74025816490015,2.7431524468514215,0.4468078500165884,0.006510510714469913,28.276448088588857,7.915434097897209,0.28715185829270795,0.23835007148077544,1.068460284816133,4247.845068766684,35295377,1743910,7595109

