Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6241885944342084,17.67818983854107,6.095687355227425,0.43648893742594913,0.00980580727614013,24.508945364879374,7.664959293649005,0.2670974324303352,0.2163273748700787,1.0692725879356817,4356.729599409418,17792161,302257,3990949
fotonik3d,0.41062346278198353,19.22805071711375,9.757687304846254,0.5556545771290821,0.0024443756435917254,24.888066240724243,7.778188657930894,0.28130591734091803,0.22781401676114618,1.0744293043040762,4378.1457071667855,18897089,1425067,4643545
wrf,0.419021430295324,19.20965653018501,7.5095623873565645,0.39529867219151993,0.02086107745943374,21.52180971968449,7.00804367457911,0.21968679441611955,0.17583441743013345,1.0561984299024811,4354.712845122469,17422572,610537,4372646
omnetpp,0.49949965972265153,12.342943618154512,5.706779914398301,0.5161844700227564,0.0004244682700898666,20.366000605752212,7.3350620413394285,0.20117153512323416,0.15866142789252263,1.0532155639161775,4406.830836303485,12098511,703617,3348526
roms,0.7840572663438551,7.972608524926762,2.7030536756660237,0.34818242373879366,0.02528288359468863,9.535741274192056,4.127643577182168,0.20518523073760073,0.12304386321677341,1.1033465540619682,6071.723997349294,6383396,257446,1084198
lbm,0.27181070855902806,34.27633490919673,25.398219460287837,0.7508530465780283,0.018879499088659532,30.303241434251003,7.999666289913187,0.46626391376468973,0.4059128559098541,1.1130728451968084,4219.262308933461,37368833,4710804,11724051
cam4,1.055243505919599,5.911986425850041,4.153263698084204,0.7633462234405742,0.021055135820236257,21.544907441205815,7.182407798405425,0.31939601831206116,0.26096293161858686,1.0858547529336469,4385.674056938956,5796851,479539,2205038

bc,0.3146373574119503,25.70598148452095,19.62861833289186,0.771546436935619,0.032389955737791035,29.231516009851326,7.968077694029285,0.4163957990244,0.35850378746474215,1.0991973866241553,4213.10437241031,26224687,3601238,9529955
pagerankdelta,0.40878739945108555,19.562652987473943,8.101832378472514,0.43842214818983094,0.004658998382082351,25.9399462137575,7.6942550562336995,0.22961171698032676,0.18505432347224554,1.0578375794260924,4331.394503650871,19033734,927641,5310204
radii,0.221574188900896,45.17508434052986,16.034583349135417,0.36368374932183184,0.00573948009833678,23.675074463581048,6.889723483163365,0.24859408294991994,0.19914912992254405,1.0658032521509682,4390.392572554308,43995401,1070308,11208365
mis,0.4178470533978819,19.47795338236099,10.57755361778058,0.5481230411437382,0.022937033887388623,25.257257005171574,7.4429203337347545,0.30219077146224066,0.2509510799532994,1.0734293692508377,4265.594244794076,18742930,905183,7339190
cf,0.32269991478149157,16.14147573995516,16.038692299516345,0.9969180197288072,0.04468668891357828,25.41615162921802,7.859640099845105,0.3687968839645771,0.3019615902489203,1.1058855573075244,4457.174787782732,15926430,4436545,377672
bellmanford,0.35038725459555636,29.174520097375275,3.260558697015921,0.11267777996979907,0.001238319346785912,24.713582541377754,7.590657234167712,0.08068735911864901,0.06169977675581263,1.0206541077740787,4404.68074988681,29277610,121604,2207038
pagerank,0.29005891439414117,36.30220922707904,10.8599398914006,0.299486247945028,0.023941773435015752,27.31539638019313,7.585652399561976,0.2126232120834256,0.1736016011329934,1.0495590059921436,4242.06919006919,40317988,1051469,5844020
triangle,0.5174009249974909,14.07500696150496,10.09200977292978,0.7683294342416918,0.020078473286658384,24.763622126340742,7.530072774701074,0.3876765404615303,0.32906938151073367,1.095712744690479,4259.834233220142,13994540,784387,7112367

add,0.183524074515165,62.810819045721196,20.929381014544465,0.3332250346489451,0.04896440110843696,28.10926328009368,7.9749155184441065,0.26003382679481657,0.21527483447751347,1.0604878897685666,4227.233490717744,62487283,884807,14163817
triad,0.21251197589697984,53.78740601750106,17.95666975309579,0.33384432514175444,0.031564017779732716,28.93761214090897,7.979362893251519,0.2555039780187346,0.21320517915795786,1.0568153456995115,4179.390648711593,53482931,238412,15239554
scale,0.25626137657392406,41.8579398822292,20.969129842731526,0.5009727505028899,0.03797368823335176,29.778941440648495,7.9947580366817945,0.356662005330569,0.3061733253381338,1.0784792448305156,4145.865679692004,41557800,584008,15465392
copy,0.21756004455918768,50.3647168801451,25.186984874065075,0.5002042935683807,0.030751587247209757,30.004942555191292,7.996917016653771,0.36327305239555635,0.3129455094261894,1.0790410130413266,4133.484856563817,50030519,604140,20981012

delta,0.6101051940614147,18.779094491496277,5.118106147637877,0.2789115020677469,0.011618927003308112,27.641167393154035,7.922198873865513,0.21856152890531724,0.17562533277439846,1.0549450759325572,4332.417975887078,19724818,498153,3514635
merced,0.7300844834521294,13.886746622571819,5.869897331240452,0.4440741870279088,0.010742091463787441,26.43172173887845,7.689463316987017,0.2912459436780784,0.24020873747102445,1.0720097553612764,4289.273725818892,11866617,453121,3221409
whiskey,0.8248359438844308,11.899627583207499,5.181874876930472,0.4686136260023533,0.003958208829512165,26.92623869596681,7.8057079760172146,0.2983594593571997,0.24449939934909393,1.076763038747394,4336.068098902424,12587702,560948,2931838
charlie,0.8006900705611717,12.372061339238195,5.424009938979888,0.46185912002971763,0.009219676922818172,27.05133312053909,7.661867685796418,0.30231950933836427,0.2494576554522127,1.0757679978065902,4302.311964764077,16922346,635953,4112710

