Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6319628494702376,15.604912312321067,6.091476112941788,0.43546711742198746,0.012624499939366724,24.376259340587886,7.652359038732252,0.2569482538098834,0.21407977728160682,1.0576924510952004,4189.318416861594,16090818,349561,3632410
fotonik3d,0.42152129998612536,18.005238485578808,9.775883578922038,0.561936268823253,0.002448518038539691,25.495781284529755,7.78157132483075,0.2726983756202342,0.23018056433475037,1.0584596677090368,4138.111175882181,17677811,1511057,4653996
wrf,0.4247949059046755,19.301034717010964,7.486504840911772,0.3903466628256838,0.02599080092732438,22.245324226501417,7.097193462181544,0.20941753347890077,0.17562522452424362,1.0427435598254002,4103.151983468922,17464844,640366,4197120
omnetpp,0.5089499115696299,12.026793633142603,5.658898686337389,0.5105862948796883,0.0005962311109805217,20.909873934685997,7.344895021557271,0.194184617169671,0.15881167615591646,1.043897078372358,4212.151814873874,11794582,766548,2968827
roms,0.7927299387962831,7.973723004179276,2.706416175573555,0.3479862716999909,0.03483623378113523,9.724135375306837,4.114180711546893,0.19942484570483632,0.12350878142575424,1.0948269052215585,5833.656179089229,6384257,268777,1022739
lbm,0.28035926677712236,33.83518901862,25.441293336578983,0.7520158131069705,0.02163522650139024,30.442051612593808,7.999710750029701,0.4587537335974726,0.4117025269721532,1.0869312354578482,3996.7969789272215,35694971,4955634,11020678
cam4,1.0708399928946317,5.722300054305297,3.950907411104583,0.7235300890767702,0.0782974095417284,19.452718555830028,6.844075153283701,0.29084163363373083,0.23894808697918216,1.0731762454139142,4310.602817200858,5566855,584804,1144476

bc,0.3250499077171341,25.452204204024813,19.6263245584077,0.7715712203314653,0.044597639873282,29.353934393505092,7.972737654360298,0.4051991167694969,0.3614508782571861,1.0735510651475564,3971.5117588239264,25931300,3510042,9418597
pagerankdelta,0.41533748231567463,19.420060977561846,8.08934105787815,0.43713131772726704,0.005447151153134648,26.263466770899974,7.71027663966643,0.22152236120222504,0.18560846416070165,1.0461334985767687,4120.2241529865,18863327,987920,4975818
radii,0.22548688429076466,44.824216897299344,16.02127596962767,0.36358852807310454,0.00636201910545472,24.121905620251802,6.947249658323536,0.24147989215150556,0.2003674779713307,1.0542008230958941,4192.673392046405,43635406,1066620,11166755
mis,0.4290570939014658,19.447423739426828,10.601269787974605,0.546815324159456,0.02643259355735605,25.604921544455486,7.449358114064206,0.2978177380021032,0.2582027647146784,1.0564169382101871,4021.045323814977,18686645,924261,7309267
cf,0.3350369998274634,16.143923636023153,16.069390968785658,0.9969481652620508,0.06352731266161629,26.26851320711621,7.8902338942329795,0.35570114387526,0.3062638324714554,1.076730403808498,4126.771906185308,15893094,4572581,317536
bellmanford,0.35087490208614297,29.467224466961405,3.256827487786897,0.11108243707549678,0.0014212652327355443,25.222584992821908,7.615701639441726,0.07612444015220325,0.06137350791430809,1.015966362656379,4158.497396622941,29632725,117890,2240857
pagerank,0.2941462698932552,36.4085245572374,10.860247282795054,0.29838726184685144,0.0301713886700933,27.48025226108551,7.589047577402011,0.2035505756908608,0.1740401400749108,1.0370524916149548,4002.55759548758,40449003,1089679,5712324
triangle,0.7219736648779461,9.03814518521851,7.758767344824653,0.862075938621776,0.0539394354650288,22.113454421836387,7.265950242884005,0.3688788459447201,0.31825084187893243,1.0802191524408213,4131.806764412002,9525031,845118,3417044

add,0.18723695290967182,62.68691627872369,20.884686067258997,0.3331576791506162,0.04993984056689338,28.47670286171729,7.97480789044373,0.24759757437659702,0.21522351916648755,1.0430275795340318,3959.737434887249,62388076,809548,14547203
triad,0.217424830236385,53.67824629715218,17.90056607099434,0.3334786822811102,0.03573177313468213,29.151946967049014,7.982761405122972,0.24526370746192033,0.21397335064263553,1.0414586619573565,3939.3954389571336,53395534,237583,15113241
scale,0.26321130385369584,41.894136342972054,20.972199868923752,0.5005975450259292,0.04220299692535394,29.908272818439748,7.994647117182501,0.3457255451636154,0.30814037952905027,1.0574455648646166,3915.207796988394,41586776,589909,15413371
copy,0.22362133474870938,50.37401000972142,25.21365484241466,0.5005207584390771,0.034018329175881774,30.115059335800556,7.997165074170889,0.35340015064421015,0.31542482471374617,1.0587307992235058,3914.4463664629343,50038295,703983,20604962

delta,0.6281566808016802,18.19500371919606,5.0646524050377675,0.2809324017922387,0.009684124494854682,28.394403695789507,7.93518588512218,0.20813537636981463,0.1760263372746658,1.040548646999723,4060.1733761595688,18897269,438993,3894328
merced,0.7319261428725928,14.11582398479032,5.776412370030721,0.4259901434129543,0.01532367251056134,26.264736784615813,7.6705293209931,0.27592669547102805,0.23480241773876218,1.0567957380489512,4098.228303466901,12053688,457940,3010385
whiskey,0.8253961766096126,11.95322313310697,5.167956133720987,0.45368020234940387,0.005243025977117391,27.069289589327575,7.81410734220283,0.284786340516219,0.24163437728993256,1.0603343667365528,4123.986274071109,12595036,622375,2727037
charlie,0.8152207299466188,12.2237353201943,5.360998656182524,0.4544680413671133,0.011632332409986568,27.02395947680393,7.627208012003568,0.28673695827195655,0.2435603776146338,1.0605338817958625,4120.173674728053,16814169,700296,3842149

