Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6425669864036418,15.50226244105502,6.11149369652443,0.43803114421463585,0.033534417466407423,25.228603629384967,7.622956551548704,0.23548884701807812,0.21514921394241743,1.0266047565118277,3708.068869415108,16010450,400095,3599174
fotonik3d,0.4256224415512355,18.114051284825255,9.769934780176467,0.5611655491744328,0.00578617922128739,25.759976543906674,7.692495795145514,0.24602518553901123,0.22529642995866192,1.0274926366010888,3702.6947999142267,17767088,1536142,4563950
wrf,0.43072445606466664,19.335564913238994,7.479091184557952,0.3906902430037283,0.04403844348339084,20.47357357918437,6.564946521076701,0.19184868988708667,0.17402893881125267,1.0220500181746217,3718.120460156172,17492538,680866,4091577
omnetpp,0.5078999261927164,12.030111655952972,5.678699907721127,0.5119906955042922,0.0007814430218200793,20.976838146416192,7.2247525364994685,0.17098324026311618,0.15513902744752459,1.0191120536822684,3706.5371440646627,11796452,766389,3045948
roms,0.7999568152562158,7.963064725829125,2.710256175467955,0.34824308859844605,0.05584174106521693,8.097140886079355,3.615994482100053,0.18745240665323687,0.1233087880752829,1.0789413679926807,5412.6354288455195,6375736,253270,1104176
lbm,0.2914217846474507,33.85652937922787,25.44606689565591,0.7516214326294507,0.04264682051562352,31.978833245749026,7.9999760950460965,0.42933191316091857,0.40651349995923186,1.0399854376439333,3624.594248993484,35712007,4812373,11501367
cam4,1.0838312750745625,5.736443839941198,4.092496209075038,0.7552533872822502,0.04839592567529086,19.759110014980006,6.453458073550795,0.26836986135131263,0.242120415637916,1.0358780267880696,3789.0024993914167,5578011,835233,1469312

bc,0.3369248310788894,25.466658508100235,19.63522080820753,0.7714761451144618,0.07689696135890109,31.030020717964195,7.951695480309571,0.3848598318817174,0.3621375404841643,1.0369383964423275,3636.603347161163,25942866,3536438,9404625
pagerankdelta,0.4237748304096396,19.429026715767097,8.09536986845024,0.43717485087726643,0.011265100493108969,27.65392721255651,7.562771441838845,0.2033616805082772,0.18512675995115208,1.0228898360911882,3708.0256097003594,18870294,995834,4995775
radii,0.230436772614242,44.850539264001505,16.022703409517554,0.36358283436587313,0.013762920885580055,23.421230573018775,6.403874943678282,0.22480884287189898,0.2003447881120424,1.0315587381704534,3819.823035796939,43656538,1077972,11174029
mis,0.4384625229907319,19.398616279454735,10.602224814461065,0.547853202020844,0.04804674542330294,25.49687588816643,7.1198007848994695,0.2737155731859981,0.2544861057862303,1.0264764969340205,3643.328920108751,18653859,926665,7390810
cf,0.3486623140169447,16.12231407146288,16.04849600927256,0.9969386301928946,0.09296952101061526,28.349325187636815,7.819007404499908,0.3338785327432736,0.30695127870274164,1.0404239397229245,3734.593404039335,15875791,4547014,314815
bellmanford,0.35464992244681887,29.44749350262438,3.2560886970885585,0.11115844528531711,0.0032398724771361166,27.63886723586188,7.53698852116619,0.069180928778012,0.06151528819799642,1.0082353712090923,3741.788143827468,29619939,119861,2237319
pagerank,0.30074573475004546,36.42710430363925,10.86013114139869,0.2982415085784934,0.05501878568395498,28.426945482589247,7.384750543412796,0.18964602926880372,0.17458528457821612,1.0185853901314237,3651.299868037967,40465368,1066130,5853442
triangle,0.6931017119249113,9.027805075571836,7.967286110572493,0.888540393148548,0.039108793347924845,21.620739907884833,6.887431255029457,0.31491614371584054,0.2948409483198241,1.0293032673473035,3627.976092863489,9514341,1833549,3641679

add,0.19346194411381093,62.691392638397275,20.889027160553308,0.33320307926519,0.09346718565471485,31.596383150938273,7.98783962743153,0.23525547108101588,0.21823371245603604,1.0222580979415978,3636.573677735835,62391666,890628,13991942
triad,0.22446218855698194,53.69880584858328,17.931368637928944,0.33392443036407693,0.07615166217547034,31.555238404825943,7.984886507226707,0.23105912677872092,0.21651381320387253,1.0189160364358245,3588.3091813612946,53412004,252475,15091358
scale,0.27278603700072446,41.86147342051609,20.976343487795706,0.5010868378922197,0.07747260372437945,31.900856717089333,7.998340195952607,0.32770056871464437,0.3097389032921251,1.026716764267045,3584.644005464489,41560662,615620,15682013
copy,0.23084719560680575,50.33085864708533,25.188964779596557,0.5004615154066872,0.05999678368085182,31.936597439234948,7.999957309342569,0.3333168799827888,0.31567164012832566,1.0264672065703533,3576.6855509942548,50003592,674484,20926414

delta,0.643528229062389,18.239507993153172,5.06252366773399,0.280026127352243,0.010687162829202122,31.143366967251325,7.9305172361751755,0.19406130662200025,0.1772146382300588,1.0209031636405625,3689.2479803181172,18936680,424729,3972676
merced,0.7474798895605084,14.06767091408753,5.816128670028231,0.43109905775143015,0.019888395925546476,27.124837077725562,7.478325925699328,0.25491043298594307,0.2349902018204388,1.0267353510871646,3675.448243816817,12015169,493936,3104337
whiskey,0.8410748848235828,11.928468436500815,5.129768666641259,0.45625197895987646,0.008366059133101705,27.48439485127782,7.657506356516139,0.2588987963021016,0.23510277785420802,1.0321089998628497,3750.6952257838134,12575143,676417,2507046
charlie,0.8342842882375705,12.201782936688167,5.361883669571745,0.454816332221609,0.018202963782923964,27.78847481516846,7.378903117720533,0.2664813816789902,0.24286124853028485,1.0322011364929915,3737.549222323218,16796346,713168,3847525

