Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.35348100339002353,22.376816545891536,8.292549771954882,0.37378659539709996,0.0,16.599751500495202,0.26231270523295264,0.17397227596128684,1.1197532205018694,5571.543701274035,0,0,0
roms,0.6699870392098964,9.255560929291436,3.0342073710461865,0.3362166687350962,0.0,8.540961217639452,0.220767987086401,0.12113721937448618,1.1278576419613318,6783.076635332291,0,0,0
cam4,1.0026439711694637,5.771078577100908,3.7045324259093513,0.6778324920349206,0.0,14.404519917153515,0.3390789885155756,0.2261521139408482,1.170862890742563,5793.222502434518,0,0,0
lbm,0.22368587973823165,37.833855619122005,28.352326365906947,0.7499811693468578,0.0,24.083842300720807,0.5248275959598526,0.41385678523135405,1.2335379954411716,5162.178928696419,0,0,0
omnetpp,0.4859122817173868,12.021661099473828,5.3542598393722045,0.48297296285555397,0.0,16.814769798230166,0.2150802940900375,0.1489496910993127,1.084251424053699,5166.601382824144,0,0,0
bwaves,0.5974035573556995,19.621586925430975,6.014894804515919,0.4341596103972034,0.0,19.395796027186876,0.3082343372378688,0.21477934931373752,1.135096309277592,5375.701514324024,0,0,0
fotonik3d,0.39577119628668533,18.15231493125392,9.766219780260055,0.5628762756250698,0.0,20.42327497275849,0.31809048144834956,0.2306840161859082,1.128178978126144,5133.6364816684445,0,0,0

triangle,0.6537215295652147,9.135368843507797,7.342337169594828,0.8061218860211199,0.0,17.623132536183796,0.4104290895032872,0.29285034332398335,1.1994310507623993,5547.299627673067,0,0,0
pagerankdelta,0.37517483494287424,19.096341236910952,9.74785968319456,0.547052800501042,0.0,20.41387663317881,0.30180594614465134,0.21671902968973625,1.1218671456525229,5155.681899411768,0,0,0
radii,0.23161200838147983,39.89451260309296,13.965002220699956,0.3540216689615328,0.0,17.231195847524127,0.2732640424147621,0.18972620580633087,1.1149493646716018,5299.370101795542,0,0,0
bc,0.24471245466127764,29.772876333202174,25.63296147468154,0.8609499768791282,0.0,21.806514705433987,0.55474393506394,0.4265800973286915,1.287842991546119,5526.737435830915,0,0,0
cf,0.29259973465925976,16.138102607510344,16.06403177711857,0.9969272745382844,0.0,18.55732041959177,0.4435005531229895,0.30847119754198,1.242640592616531,5895.749496273741,0,0,0
mis,0.38974576305826947,19.534326224114228,10.528294578868216,0.5394355785659782,0.0,18.770208102980682,0.36742670229500235,0.2560424474634828,1.176081183375312,5569.420210964833,0,0,0
pagerank,0.3024610465955867,43.53844064571107,4.375607281219636,0.10056398218989096,0.0,19.978092332449513,0.11669835127503808,0.07345124978651392,1.0489607390079605,5499.696250177833,0,0,0
bellmanford,0.35534985924900336,29.24134623265045,2.5939523897570234,0.08912697175346526,0.0,19.133875877976976,0.0764353024872956,0.05008000037212529,1.0285364979693887,5180.400211646127,0,0,0

scale,0.223837366596607,41.72172934742326,20.86083848758921,0.4999991011883369,0.0,19.059014841154966,0.4329182034294343,0.30303907311259615,1.229030681468324,5794.071939576738,0,0,0
add,0.1695120511110692,62.66351136733403,20.846526874604194,0.3326732486034871,0.0,18.426772728932697,0.33072581197410655,0.21787099976961555,1.1686226874180972,5854.056616383712,0,0,0
copy,0.1931867416164771,50.23711657881119,25.118594686017566,0.4999987807866912,0.0,19.514848423175696,0.439800010237674,0.31280028307279956,1.2267042654155638,5691.6988454171105,0,0,0
triad,0.1941112824955183,53.77859740428524,17.943123788839145,0.33364595572383704,0.0,18.40834086842638,0.32663584669078083,0.2139327981660629,1.1673731040935929,5881.7978741161305,0,0,0

whiskey,0.8200278607676448,10.760526124215597,4.745397381365065,0.4674432601460921,0.0,21.400590414862048,0.3258871364380493,0.23432764277364207,1.135822202206045,5212.7630951885485,0,0,0
charlie,0.8464237950057425,11.407691001083611,3.746917340756013,0.33809682577208144,0.0,20.531535541312927,0.26561637742945504,0.18523082388188902,1.1094598940894058,5250.094713854789,0,0,0
merced,0.6097663231639093,15.500186800285906,6.00804225967831,0.4015559850166139,0.0,20.374137108669448,0.31497476604980046,0.22026683823740778,1.1382546556223325,5371.307543180662,0,0,0
delta,0.5517019661248082,18.897321757787118,5.502729738620338,0.29524093121079936,0.0,20.884740494031035,0.2678883158068819,0.18109648785304555,1.1185499833259622,5460.256941554465,0,0,0

