Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5811687199595051,16.386080111405366,6.082653651156878,0.4374638096848587,0.0,18.959923119373975,7.625224801167164,0.34123523185983384,0.21909214202036512,1.1854122985118114,6092.708946321332,0,0,0
fotonik3d,0.383518406417962,18.033178799329757,9.787321103190184,0.5582420742971743,0.0,20.1669271789502,7.683799692876217,0.32935014241832994,0.22947953795889978,1.1489161644193269,5441.469112909725,0,0,0
wrf,0.34891536897835085,19.43642885428484,7.219909810477367,0.3737819255548621,0.0,13.312268761193959,6.680434474380526,0.3073036825449352,0.16137468968280036,1.2106680650451145,7608.015191325099,0,0,0
omnetpp,0.4510123701179598,12.016776666190625,5.359469872712591,0.4832365806594059,0.0,16.57176328490972,7.219083918251763,0.2106798491162089,0.13915591618868942,1.0906146040328948,5448.871578719538,0,0,0
roms,0.7150711755762496,7.957279573001572,2.6946374494755476,0.34694196148361783,0.0,6.533751771116107,3.86658518733602,0.27313982764378103,0.12258263216992424,1.207133643030412,8876.16531722727,0,0,0
lbm,0.23359864739539365,33.87378693884313,25.406947023619743,0.7502625293078827,0.0,23.108960722486756,7.964464645824798,0.533824304347749,0.4006677282742927,1.285636032327146,5652.570072811777,0,0,0
cam4,0.8459252539989406,5.798251847575593,3.8190749140708142,0.6832017992952999,0.0,12.314921985481037,6.85378473934294,0.4396338799754514,0.23463072197054113,1.365837888264782,8445.383439707259,0,0,0

bc,0.23269970996822104,25.466221372328718,19.653839606923206,0.7722136759432402,0.0,15.61781571560904,7.565316288126779,0.5636566665494603,0.35655084825268135,1.4746395840610564,7692.951622685439,0,0,0
pagerankdelta,0.36236239696746797,19.37213126999354,7.933196180584534,0.42826132255679666,0.0,20.563299971041577,7.707224565929199,0.2531125529078233,0.16902524784784442,1.1125836367813546,5498.0503274452585,0,0,0
radii,0.2055746377317278,44.60047272687347,15.89460087250323,0.3607864695437622,0.0,21.04332044478587,7.594344734957998,0.28599535427484163,0.1941868006418192,1.128582571811952,5485.125279251658,0,0,0
mis,0.32355127707911985,19.4804770594027,10.49540604009188,0.5390891607786596,0.0,15.982350406702103,7.4147449972598505,0.4402608941470806,0.24795726924490427,1.3435593884567845,7872.344200111358,0,0,0
cf,0.22328364887259794,16.168468741740515,16.115306048558676,0.9969355562851911,0.0,11.67870480520344,6.602735591082983,0.5079475581996443,0.27892193263991877,1.4654496271205375,8806.859051778802,0,0,0
bellmanford,0.32584993096394205,29.43115657470997,3.2230561613659554,0.1099859192839267,0.0,19.55693487320805,7.555270230110361,0.08977384224583566,0.05746304485262837,1.035497548733305,5338.560802344048,0,0,0
pagerank,0.22234734934804692,36.43641565132364,10.864109904939038,0.29830970983606175,0.0,12.846972303178783,6.977228819710702,0.3295494760049272,0.15938069912947253,1.2538125794301047,8555.225486487157,0,0,0
triangle,0.5383882300701048,10.478346260569557,8.305737416942625,0.7939027849366858,0.0,16.61512318115873,7.442533291932012,0.5749659101302624,0.3667276954414459,1.489932971617962,7708.662957383375,0,0,0

add,0.13247107819151033,63.04288579428096,20.968548645157256,0.3325987539293624,0.0,12.310153352171401,7.085723353240475,0.38835025889288405,0.19278538287269,1.319733440361165,8773.030877494562,0,0,0
triad,0.15477147759265444,54.106031746976676,18.043443727445695,0.3334755739954776,0.0,12.360252756740305,7.0751114983848105,0.3893108570084285,0.19358064633439098,1.3205071072906547,8763.735523602583,0,0,0
scale,0.17437271895828027,41.9583889185977,20.97967614510162,0.5000044835459969,0.0,13.08880053586833,7.253400128241159,0.4935097664662197,0.27698990693363856,1.4274906902388282,8393.034953530325,0,0,0
copy,0.15198622147030305,50.327084634481906,25.163607374181964,0.49999729273192905,0.0,13.302335279556015,7.3138468152713685,0.5081977645318839,0.2911438408122738,1.4413439144151305,8302.458281468585,0,0,0

delta,0.43731184778917687,18.27325446785623,4.962981187962735,0.27389012993619255,0.0,17.46372437883525,7.636781188982619,0.2475705291212627,0.1331559286115778,1.1520602328030345,7068.504891087388,0,0,0
merced,0.5669193219996291,14.11868615936354,5.63034109516562,0.41481841604778447,0.0,18.52010763215022,7.616131604948993,0.3324701067828324,0.2010787171170887,1.1968322183033653,6530.308655803056,0,0,0
whiskey,0.6833221147920586,11.926126342138987,4.962834894539759,0.4370219569446852,0.0,21.248142458005496,7.821821269074796,0.3107336710355618,0.20682778334149493,1.1507485326465552,5705.2385501432145,0,0,0
charlie,0.6440812532046952,12.128260074801718,5.226903691197333,0.44297066155183057,0.0,19.95042574978948,7.6427707895089805,0.32599176560234966,0.20832259691701566,1.1745812034336538,6065.508782326439,0,0,0

