Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5455066352020848,16.01292146459284,6.104308681326527,0.4361318263945184,0.18309629778749015,19.46332657623864,7.671362071409455,0.30595751635694146,0.20325229373893758,1.1479811755598877,5702.619278554676,0,0,0
fotonik3d,0.34634603238287387,18.086574781858925,9.757826067040762,0.5580386547872125,0.05452299400822065,20.58276011511056,7.738577936682876,0.30354188665917226,0.20350127334443982,1.1436419669732174,5629.314619124316,0,0,0
wrf,0.3809487206934732,19.294748162634164,7.170644829697185,0.373934007496911,0.46748771955236845,11.65258776371018,6.059805759926354,0.24976620294213514,0.16135919877699034,1.1178392715868624,5709.962364612947,0,0,0
omnetpp,0.42698722241389975,12.027075949521144,5.364474892710502,0.48249643713688367,0.019598413743617996,16.36672401406013,7.162911795708251,0.2182892495247269,0.1340121582332868,1.1078110941165902,5954.80845376295,0,0,0
roms,0.7276782905414346,7.955641744697853,2.7009724493567666,0.3468231602800616,0.5224285425867907,5.522790830436291,3.342501682086847,0.21832276996856304,0.11681114483549615,1.1298638635399223,6968.7488191753155,0,0,0
lbm,0.2379604017232211,33.829654880755484,25.37735705589625,0.7502829468065917,0.1813506686676108,22.285128192884436,7.943849075576785,0.5234919398195275,0.40048316387544586,1.258146264928852,5427.137295914281,0,0,0
cam4,1.0364491265852298,5.731222783599571,3.755196165508086,0.6865637088226139,0.6540273700680215,8.416734812833049,5.311052877587338,0.3566289489302418,0.24055917864302656,1.1804087549388824,5774.854190376867,0,0,0

bc,0.283449593990007,25.481542447427305,19.665728356685435,0.7721851184846964,0.6349888082270971,14.003359070936689,7.291038341006058,0.4864756639894011,0.36409762431342374,1.2383101074170935,5459.92443224358,0,0,0
pagerankdelta,0.35401222825469214,19.38524263596465,7.943362440424782,0.4282415745340784,0.0620699575285724,20.085285141006253,7.628466399414144,0.2536161516608003,0.16602203832375706,1.1173579968697762,5632.710726723098,0,0,0
radii,0.1952869556487453,44.73532230615621,15.895787142344789,0.36079395591682845,0.029155348520239453,20.813129997626966,7.5203069226685315,0.2768236967821348,0.18427396019381687,1.1279767273575005,5591.822457364884,0,0,0
mis,0.3979506008144107,19.355770851429664,10.48786354024273,0.5422190803184725,0.49495302488028203,15.065389719515025,7.207906960624179,0.38471332033471645,0.26999565453891705,1.18644587894899,5578.819640939748,0,0,0
cf,0.2636822254090526,16.23918914456624,16.187812297652346,0.9969261395915991,0.6814181766873755,11.055641839391194,6.340451841181586,0.38884594649925874,0.26982453723439975,1.1947486212078517,5681.808773112488,0,0,0
bellmanford,0.2997624754986969,29.43094943006555,3.222763669430908,0.1100244654242914,0.011211544833427173,19.79269897245335,7.561809400404517,0.08893778215998081,0.05304185745202445,1.039400080483043,5751.276630190469,0,0,0
pagerank,0.26045997405448307,36.40568071375234,10.864072404939366,0.2985629418366775,0.6292691073897765,11.742487151478743,6.609648165850344,0.25474068964185737,0.16667009517928402,1.1181744303472707,5639.805588558066,0,0,0
triangle,0.6726586145623539,9.529569366646069,7.685063634724045,0.8086532812071089,0.48541036585458985,15.018281150387676,7.028162575064469,0.45760825861396554,0.3362981905473096,1.2236576607096907,5494.69001346931,0,0,0

add,0.168274290080581,62.728147826257114,20.859486197851286,0.3325364258707277,0.6665046096804308,11.631246091504618,6.854377049735558,0.3234902448190196,0.2144269520849192,1.1612146637928729,5781.070524687539,0,0,0
triad,0.19387373748127731,53.80779950934216,17.957424865319314,0.33373053922471096,0.6653982225418111,11.582661812812407,6.8308563560782005,0.3249423314171295,0.21439432455100269,1.163760834090215,5820.63926425977,0,0,0
scale,0.22374978767934145,41.73214489214036,20.86628976525424,0.500004732558336,0.6844286227120999,11.321578620223441,6.728782789867994,0.42909488928491935,0.30130334916795076,1.223840245460239,5751.591766432844,0,0,0
copy,0.1914749510303092,50.033258158348936,25.016614906187694,0.49999963774101996,0.6788629207079279,11.47417332871333,6.815137600608361,0.438042815580286,0.31046523537209963,1.2270236661177756,5713.082087244817,0,0,0

delta,0.5446500835000486,18.254566877164205,4.923573682300862,0.27262211229276967,0.35412860744992963,13.669645753402087,6.7171403256195,0.253321185952193,0.16030845982954098,1.1245685887596333,5864.283527793201,0,0,0
merced,0.650455274370335,14.067930653056887,5.623439845355405,0.41506399063724925,0.2717831188962522,17.39278100800002,7.365953880559452,0.325507100403183,0.22150233600428756,1.1541969744397087,5597.267039392258,0,0,0
whiskey,0.728441085459025,11.861109749863727,4.967952425480713,0.4373396370235575,0.09919739764619345,20.61898840065608,7.724615732797172,0.32590887941683455,0.2217751570384,1.154480187023302,5598.65519648185,0,0,0
charlie,0.717203667183351,12.125946478991386,5.235081217280743,0.4432638957317249,0.1873569195016591,19.46848509813723,7.584934665158372,0.33441577611901474,0.22906405997918614,1.158284575204515,5580.318868976485,0,0,0

