Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5996348700123464,17.126954980238185,6.15170865772437,0.43600278078332366,0.12419143854362164,19.164731032090316,7.630507651257048,0.31324139603446144,0.21744680635248795,1.1394880080552736,5416.88750137919,0,0,0
fotonik3d,0.3897093863139079,18.058869552661214,9.752663567137558,0.5589364281739347,0.043907019810663736,20.004171708377946,7.669032150384016,0.3221737209679724,0.22899773096681772,1.1374629353913734,5280.926557116254,0,0,0
wrf,0.4000361858060417,19.333070080018494,7.168548561825601,0.37348840408060074,0.4175840584123368,12.34295730276019,6.273532295011286,0.2487335221994181,0.16801407366064167,1.107444496625341,5410.340111030144,0,0,0
omnetpp,0.48948727826447164,12.020298654823986,5.363246122622905,0.48296273633599807,0.017513628517654062,14.899702918429544,6.958238968880734,0.22633014847560157,0.15194876010553113,1.0961409937630544,5387.975441179864,0,0,0
roms,0.7679951668003786,7.960113479174309,2.696453699441493,0.34688053819184533,0.4164505516198329,6.305869186455466,3.7277267136356906,0.2258660715536373,0.12340071406840043,1.132361279773486,6839.62476270917,0,0,0
lbm,0.24606060036179295,33.85001162392977,25.370923274295187,0.7502008033612917,0.13170753845806593,22.990453936164542,7.956673265236042,0.5097377470496908,0.4012939639173946,1.2211954570838388,5118.97829025638,0,0,0
cam4,1.030728344540593,5.852003763205279,3.8738361628386864,0.6831054308648332,0.6036216944251727,9.703367957578251,5.883517325462545,0.34190277219408005,0.23987005904565936,1.155042004186213,5432.982398262187,0,0,0

bc,0.28937476023764336,25.470962380509015,19.660352106792956,0.7723346327290084,0.53368999378249,15.280327436080135,7.475874261879074,0.48386880801421245,0.36810516516389274,1.2242911194824813,5310.731617858835,0,0,0
pagerankdelta,0.3914496360855922,19.365921468330438,7.938364940462263,0.4281774230532709,0.055397294063495736,20.11228634614316,7.622681447187016,0.26086649853362304,0.18176033854149778,1.1070255371122881,5243.131682657575,0,0,0
radii,0.21091221003391974,44.624549401249816,15.885545833004421,0.3607753223175923,0.025464690041678794,20.698817123660174,7.4790994019495916,0.28661284082342264,0.19837860956729578,1.1236835147943658,5357.45770530239,0,0,0
mis,0.40797444315712167,19.466769054398025,10.671778509884984,0.5486748555293139,0.4576454914853426,15.299177749084555,7.224315622965883,0.4092609836410199,0.29981804616864954,1.1852644474829546,5339.145690215888,0,0,0
cf,0.27060780280554597,16.20187613068405,16.148705967397646,0.9969202573525866,0.5945666238068148,11.52330004307775,6.479014687747181,0.4049960947935863,0.27964048980726147,1.2106803062793974,5786.210102125054,0,0,0
bellmanford,0.3397874010908816,29.43849113992887,3.224808669379783,0.11000988569934639,0.008989491502902255,19.47046192811362,7.5313531973831065,0.09299732197134815,0.05999362661281822,1.0363876492958792,5301.5333203868295,0,0,0
pagerank,0.27370989761953796,36.39271192548519,10.864029904939738,0.29866742982802136,0.5749265165319634,12.27824604722997,6.741650103689759,0.25942540392902486,0.174454392400567,1.1147366004441157,5470.371156927954,0,0,0
triangle,0.6880642744904982,9.080320395035448,7.364232398741804,0.814288239703232,0.4335769678943335,15.413922739839123,7.083777429283082,0.4308664835544846,0.3205843193706314,1.19377204293399,5294.631998650233,0,0,0

add,0.17431174780391884,62.69324997459207,20.84568369788579,0.33250142912505726,0.6388077235804437,11.961329071529326,6.974288272708922,0.32143109627027444,0.22066950223123538,1.1484913226721813,5520.612091220083,0,0,0
triad,0.20259911072315118,53.76579946927618,17.94531997756835,0.33376686293525565,0.6364267702695912,12.026863785592212,6.993556555487084,0.3192324250077996,0.2196635977212833,1.146259650054069,5497.25457556622,0,0,0
scale,0.23472483221468385,41.72907805211452,20.865261067428964,0.5000169995263797,0.6353094461687874,12.383312759968575,7.058049755139505,0.4232594944152057,0.30972345541518254,1.1968580980538235,5397.457303344333,0,0,0
copy,0.19887486483398303,50.05956552325396,25.029784906138307,0.49999976278273334,0.633149654034084,12.430480996892591,7.069537510345753,0.43032821008720484,0.31580499408630897,1.2010336794427314,5400.698705162669,0,0,0

delta,0.5860342059153135,18.192906748843388,4.933997413655045,0.27377969878669034,0.3402462583720547,15.344330263411045,7.141021376529733,0.24860163012287598,0.16971157005360085,1.1049909917720158,5341.524173856999,0,0,0
merced,0.6860741699200554,14.114982858278553,5.630664852195047,0.4143969750385668,0.24348187767696738,17.576478401037875,7.3869974123690065,0.32364381239272216,0.23063205119596936,1.1375189033544548,5267.690001092234,0,0,0
whiskey,0.7769791016372757,11.88159828131246,4.998954893772209,0.43560304911808434,0.07662862548687102,20.703078398774217,7.69445990879206,0.33006202657673217,0.2360669218219695,1.1403041900647366,5261.324456811473,0,0,0
charlie,0.7624494696268438,12.087290946168103,5.2388199738059,0.44339870564432343,0.16599394391926686,19.420433528175664,7.5327746527245,0.33348164330832447,0.23898515157938735,1.1417762778477387,5257.702032137008,0,0,0

