Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.53145774838701,15.164935453290974,6.093529931447788,0.4378483096783419,0.03977260631929806,20.834331869345,7.754081164967728,0.2978585666170974,0.19792391128375086,1.1423283836874054,5673.051659711202,0,0,0
fotonik3d,0.3428737049522661,18.06507413126291,9.739918482152241,0.5603316943926021,0.012331593614401774,21.336613814837563,7.773950512262237,0.29943328797727775,0.20126027841339245,1.1401337058685443,5597.727266462053,0,0,0
wrf,0.3680571972439254,19.325670678584657,7.207666096837095,0.37430932726039223,0.22567435032760275,16.041958027852385,6.883047761376114,0.23064700075939604,0.15459500747262456,1.0988518838060541,5410.101884226396,0,0,0
omnetpp,0.4179998146918395,12.020914125342715,5.360679926290651,0.48248106012663744,0.003699163431006648,18.366270682579934,7.439400459501626,0.20852664338366256,0.13003207958296656,1.09917524468072,5816.904355417596,0,0,0
roms,0.6971418784552368,7.973751475318611,2.700757425729171,0.3468309028269385,0.215371660089773,8.114045179867027,4.046841684594751,0.19645619365507824,0.10970818523639067,1.1079567880851178,6547.3183282838245,0,0,0
lbm,0.24474850939785944,33.85153469071058,25.37757692900452,0.7502067755267496,0.07349645534096359,24.145614330149314,7.983395165367556,0.5170969491114019,0.40440675394799996,1.2333598741114573,5204.2401667377435,0,0,0
cam4,0.9771123749138417,5.871514489462923,3.8796936772557435,0.6827758613521218,0.37266166049805627,14.45247705785155,6.719750152369299,0.31357894355703675,0.22254005205151303,1.1326283491029363,5266.71811660392,0,0,0

bc,0.2807998396863997,25.458779843280418,19.651970807830658,0.7723821206168886,0.30578508368189383,20.502745982694783,7.881384312832461,0.45663374236293425,0.3487674001692684,1.1985149807843125,5178.327608229123,0,0,0
pagerankdelta,0.3410499193666498,19.41725539692085,7.928068591438628,0.4281567748754944,0.026579482967883004,20.931058903148298,7.695564202477028,0.24216112188289093,0.15856316424116013,1.1103109909713715,5595.780813580861,0,0,0
radii,0.1920491648533835,44.83288241337226,15.89934480125819,0.36072188300269437,0.0177757805375377,21.15083787986918,7.538829663000733,0.2689430529453148,0.18006176285286205,1.12157916076243,5528.186729704903,0,0,0
mis,0.38377987944417175,19.285481092813235,10.53626110512641,0.5472682390629251,0.279175523923342,18.782735293451644,7.542508562202807,0.3418580843890383,0.2468747599626412,1.1443204302497931,5229.145854749948,0,0,0
cf,0.2694494801585744,16.139431691175112,16.064388549195144,0.9969313638768049,0.36833937899921687,18.254289683449663,7.717260135023642,0.36988574057017415,0.26642239201253026,1.1641977578023155,5333.810283942487,0,0,0
bellmanford,0.28864999133899183,29.445546466217863,3.220264911442715,0.11001364637725324,0.005529494029914686,20.228713472365783,7.592065513675902,0.08514471393828618,0.05091795929579013,1.037412206240657,5724.690272384416,0,0,0
pagerank,0.2543977032356449,36.39718201288373,10.863944782721104,0.2985794489987118,0.3654350311407496,18.096362990300786,7.669594507532198,0.2301387202409301,0.1588030630815715,1.092660403938854,5225.525409048002,0,0,0
triangle,0.6565209261883302,8.680710547568468,7.089924893651126,0.8196400077571828,0.29745417594536583,17.697501226529166,7.361095092516109,0.3845673353609636,0.28438243678285674,1.1627877497156693,5189.004047292461,0,0,0

add,0.1656870256692818,62.674175565429195,20.848678489391517,0.33265095013365914,0.38645447036846914,18.219022905532636,7.906984863755563,0.28897699047327474,0.20385540630912255,1.1197170598189379,5237.973118080684,0,0,0
triad,0.19103667574648436,53.78805594425055,17.949984798062673,0.3337154409310743,0.38597501850092686,18.19423037436362,7.901228663911842,0.2873051404459945,0.20221438092220373,1.1193929749641234,5248.411461068074,0,0,0
scale,0.23424900549275493,41.86245783441651,20.93133838370158,0.5000002985955082,0.3921427534218563,18.71766411368496,7.9239258405902655,0.404812276096543,0.3021365498839015,1.1725098184808935,5184.1891231156915,0,0,0
copy,0.2023366340465731,50.21356201739139,25.106886030314747,0.49999995021286736,0.36440465676677836,19.36416670119381,7.9484791619037,0.41887617256112725,0.31609516935166393,1.176865924879452,5146.461473294005,0,0,0

delta,0.555760903315951,18.18453378321337,4.922104938473688,0.27326146169834037,0.1607076049216725,20.76769301742096,7.849983942993963,0.23615367333777,0.1599486770537512,1.0997648265417612,5358.309788190215,0,0,0
merced,0.6462155341177956,14.095300996459283,5.6301773873964525,0.41548139667822764,0.11355893400062529,20.708624767688224,7.701303786618876,0.31291858859156946,0.21757909690169808,1.1387601092197173,5404.56044236616,0,0,0
whiskey,0.7176862504587589,11.899430911219142,4.931078669869971,0.4400440617087019,0.041871274652828805,21.57958973526094,7.789934519996443,0.3142232316008971,0.21464889050533664,1.1451993501150668,5532.286662426553,0,0,0
charlie,0.7103912906942003,12.141357166428149,5.233904934576188,0.44341528736685093,0.0731445233126902,21.63834254624622,7.730306482318891,0.32645969715260886,0.22672688981467293,1.1480725161008414,5455.189018524409,0,0,0

