Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.36497150362459385,22.327803115871987,8.286744709963935,0.3753461510718496,0.17610425894835732,16.262824568849858,0.24071255261936528,0.17374618854295162,1.0881963271056727,4975.132455505751,0,0,0
roms,0.6793622096204126,9.257418608724423,3.0325623938603163,0.3361350475775083,0.12603782872933061,8.336161425346276,0.20897952293057592,0.1208591037957162,1.1114009329585608,6341.7491708744665,0,0,0
cam4,1.0554746128893728,5.8095549663242965,3.7427099251458014,0.6785274649968365,0.30773865190160343,14.040516486301506,0.30349714665514355,0.22728480921051378,1.1094214288981457,4888.714690692039,0,0,0
lbm,0.22768200064407898,38.05363773394259,28.548616500798424,0.7505138344077308,0.06496406534736322,24.023260906073563,0.51091465688838,0.4122227046090776,1.201788815938364,4915.396447481214,0,0,0
omnetpp,0.49301236591077136,12.017515242023528,5.352314839430555,0.4828922569463554,0.003111747025223713,16.48193846268631,0.21763926407796563,0.1512496560464411,1.0848580520254285,5151.452618166158,0,0,0
bwaves,0.5975120838678002,19.187421463471765,6.140264769740071,0.43900207837779287,0.01727399047674761,19.244244190560416,0.3099912388180975,0.21948970512328164,1.1311599776498455,5271.973701460767,0,0,0
fotonik3d,0.39608374595373835,18.1865532191044,9.772322157968725,0.5630881994506441,0.005024928870655894,20.406304459877273,0.31807706703426813,0.2312271684137172,1.1273602843107717,5117.645137069514,0,0,0

triangle,0.6976730461956061,9.12861658910774,7.353799852924003,0.8086423944559096,0.23117327353816358,16.721394890587284,0.379816527207184,0.2961597849641208,1.1348903121625273,4803.033337866137,0,0,0
pagerankdelta,0.37698727816341404,19.076146507832636,9.758402207247935,0.5471829064822912,0.009176826596242882,20.432489586505056,0.30124644927822575,0.2174805644224394,1.1198790113757,5119.016511155386,0,0,0
radii,0.2324870426164453,39.92346223322073,13.965157220696856,0.3540610297735601,0.014006525006714128,17.115214143943927,0.2719450766047931,0.19008098847467247,1.1124421873948138,5252.111157357158,0,0,0
bc,0.26372495497337883,29.7606089743584,25.62877397484904,0.8611641594100122,0.21145612400101665,22.462040015316393,0.5135394663020567,0.423068342049164,1.1859783435362277,4750.660502501582,0,0,0
cf,0.30803708680396946,16.130080545752403,16.055044397935834,0.9969255597367391,0.2855496953801537,18.11499679519996,0.397201233866099,0.30238575574845655,1.1572920905690456,5016.562004030508,0,0,0
mis,0.41633983831540483,19.447793262115972,10.489112106658297,0.5400524755057242,0.23937511768839798,18.364128657933847,0.3387615940709917,0.25929676700661086,1.1201757586248133,4829.444458718504,0,0,0
pagerank,0.3069859250579294,43.54852650464035,4.385062302672196,0.10075673317090707,0.23416788468720984,19.695410570335337,0.10537901960683918,0.07376114145620034,1.0353422050718548,4881.175052807115,0,0,0
bellmanford,0.35739987405536794,29.234945119400205,2.5934148832963304,0.08914131432322905,0.0030278949247603236,19.147631749730905,0.07665202042534824,0.05034144790325706,1.0284947529036792,5167.897895246229,0,0,0

scale,0.24938686293875398,41.82011302075375,20.909726245416426,0.4999907341494774,0.35542891740543064,19.354534464830074,0.39864572328490516,0.3144454906682372,1.1400176832143154,4769.438641417015,0,0,0
add,0.1827617359865424,62.63635368538123,20.832994427092654,0.33260102710727757,0.367233428648587,18.369728029165326,0.2946343302400115,0.22162058421116915,1.1035119075949449,4841.324765834197,0,0,0
copy,0.21117383724079689,50.31020752063291,25.155169811336226,0.49999843472030864,0.33712001602526853,19.73808270806998,0.40476573144950584,0.32047386204211437,1.1416112509998086,4758.206685941697,0,0,0
triad,0.2106240271573306,53.825726403583346,17.950181422989115,0.33348549034710984,0.3648820783201112,18.454381850500578,0.2931012524267381,0.2203155326405081,1.1029648447335616,4842.260700134943,0,0,0

whiskey,0.8458100205753225,10.810206000407547,4.78472735645818,0.46602646470062425,0.024444309912639905,21.223655992499403,0.32863214765676335,0.24005158523694717,1.1319404289476307,5113.791044526569,0,0,0
charlie,0.8742509737158805,11.4271222846152,3.7595948402172192,0.3389760288377054,0.040502563136083,20.09721893172394,0.2681272036262673,0.1908571156052539,1.1055785765010935,5125.498102854164,0,0,0
merced,0.6450891499425092,15.472187639259849,6.0122922294468495,0.4017084137682669,0.10803375818806112,20.36707356503092,0.31075285239199035,0.2306094871341445,1.1162766730859583,4963.908219701553,0,0,0
delta,0.5844717611730261,18.803142215098706,5.582459776701609,0.30105139549039844,0.1640897821025267,20.718407585927988,0.25824451890874933,0.18984379006085883,1.0922146591316875,4902.940897023893,0,0,0

