Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5868224314323442,16.97172787884401,6.2087473680641185,0.4323479619968861,0.0,19.797558401345363,7.633787866655725,0.3166674942442016,0.2198793768020576,1.1416413190165624,5425.785326267496,0,0,0
fotonik3d,0.39130987053919425,19.02588612728855,9.76997742672517,0.5573367967778214,0.0,20.50912400577168,7.701604596788551,0.32393872672907426,0.23063801021493413,1.1380063023913969,5274.612933346059,0,0,0
wrf,0.4025303176769297,19.143842929657577,7.057423626495087,0.37125648135928424,0.0,16.457822275525785,6.985843550109822,0.25770570341274984,0.16880719417085888,1.1197618109833365,5641.215243735364,0,0,0
omnetpp,0.4882749552116067,12.257107869819693,5.179002402893705,0.4700452914150067,0.0,16.62014531856461,7.2155955155864575,0.21603526674629417,0.14552769232683913,1.0899371762895838,5339.424091801462,0,0,0
roms,0.7621427967074316,7.962179762499893,2.696493675846424,0.3468901464284399,0.0,7.856545780876132,4.078746833252394,0.2373461424599153,0.12424499784942537,1.148299446062325,7238.896377935235,0,0,0
lbm,0.24551149844462153,33.809886074188135,25.337663243246734,0.7500884872966657,0.0,24.14767011023713,7.984859859426873,0.5280198133674875,0.41041648454474894,1.2491700544927864,5303.479905877273,0,0,0
cam4,1.032552623434699,5.923185120643946,3.5215149383734885,0.6474718094015852,0.0,15.793263554148389,7.028875898168804,0.34170669444271873,0.22578444593751007,1.1760951349901305,5873.755437645445,0,0,0

bc,0.27753745551016784,25.446278376319526,19.642518332596484,0.7723659674272634,0.0,21.011737550351,7.942880489064397,0.5063878743836284,0.36830253463907536,1.2797446265569883,5806.518909903039,0,0,0
pagerankdelta,0.3925374366986813,19.49036933238197,7.852791151840111,0.42518995275910093,0.0,20.736258573011035,7.6470631795765325,0.2617766944138178,0.180698602140021,1.1098286814575937,5305.741298038452,0,0,0
radii,0.21139932460929278,45.062927730325,15.89876841215117,0.3605110356240548,0.0,19.010130616183,6.858041887780951,0.2878823201873983,0.19889602965583417,1.12496009164522,5373.285742016972,0,0,0
mis,0.3821621750221386,19.54065440518595,10.478584751133612,0.5382427046033478,0.0,18.462506227859414,7.371429457862483,0.37174164881166655,0.25486661252808307,1.1860302152172233,5708.709811486951,0,0,0
cf,0.29173733774721894,16.116865294721517,16.041934759370978,0.9969244488912573,0.0,18.87440635478685,7.761504941437293,0.4467708396709395,0.3085393669961066,1.2498629547882343,5972.423162168404,0,0,0
bellmanford,0.34428738065944353,29.14032678551179,3.2182287057493553,0.11126351038822821,0.0,19.812616150159762,7.525430629898244,0.09431545382030355,0.06072441089643885,1.0370891201197552,5315.566632732369,0,0,0
pagerank,0.26890997578916426,36.284275796868734,10.863722350623817,0.2995796636081727,0.0,18.026459260442582,7.473961035908545,0.2741776094332969,0.17450180994207826,1.1373280857502817,5897.0084959368205,0,0,0
triangle,0.4962831853761307,14.331473059924711,9.105437249600476,0.6658548332531524,0.0,19.494315523077596,7.428868879619735,0.37989356674975167,0.27180731938901537,1.1743027350872803,5416.201385161339,0,0,0

add,0.16727437581539772,62.66492641071828,20.840609843695425,0.3325710606976882,0.0,18.636656830952695,7.9238278847013985,0.3394074543458147,0.218107662359834,1.1836227078007024,6078.237725287312,0,0,0
triad,0.1931363224116122,53.775330589517075,17.9515598653633,0.3338232779243371,0.0,18.632171172691205,7.929044598510419,0.33531428208547953,0.21528521947472298,1.1805801740217208,6068.023628030099,0,0,0
scale,0.2225624445292873,41.701798942444114,20.850932291490675,0.5000006444564203,0.0,19.431553984708266,7.953078672076183,0.4390966401508683,0.3040328853862045,1.2407968367331448,5913.63029926839,0,0,0
copy,0.19013586473459657,50.29200894383526,25.146238624268808,0.5000006089387284,0.0,19.683585478935385,7.9674337327162075,0.45268245581541,0.3160619561820452,1.2496183451179261,5906.26286326817,0,0,0

delta,0.5650402977848048,18.708589459118603,4.912181145616151,0.26827571084364327,0.0,21.80292631918664,7.902350826004446,0.24503030941564588,0.1636407828168201,1.1078050253061542,5474.009298822189,0,0,0
merced,0.6800284269881061,13.842700064520104,5.509471112263222,0.4172687254530517,0.0,21.024993002409843,7.683329198406243,0.31965742752145665,0.2232117329562082,1.1417604872408453,5395.81101180989,0,0,0
whiskey,0.7800833376958937,11.778808684531345,4.842462403150752,0.4389390192956776,0.0,21.918345923646424,7.816983864614645,0.3232618787197944,0.2297652260588324,1.138157803914004,5284.289619176194,0,0,0
charlie,0.7445783012454301,12.371160001861591,5.2630586513176505,0.44687487197491993,0.0,22.0005125388546,7.715569052321248,0.334643582920319,0.2382768460540091,1.1448347598258293,5305.879779510346,0,0,0

