Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.5635568446275316,15.442919490413729,6.092527416227748,0.43662353752155003,0.025072012298295615,20.622211094242186,7.722822626632928,0.29473281642208543,0.20255417022748842,1.1307003194547667,5429.361512114636,0,0,0
fotonik3d,0.37092296064720637,18.108495179691243,9.752338542762805,0.5595126321997744,0.007764819281369592,21.01629032439355,7.7382032045013425,0.3049316773727206,0.21543791211218147,1.1287553501535832,5272.227874570087,0,0,0
wrf,0.3904474764688957,19.309117352258372,7.191299892130502,0.3742419749951114,0.18605684964742025,16.19044012663283,6.99007758059221,0.2299344624951647,0.16188108683947278,1.0883734855557856,5101.523006966751,0,0,0
omnetpp,0.4673123639605528,12.01770080127753,5.358392433020095,0.4830445896692327,0.003077125405720366,17.184704971134227,7.294584757455836,0.21427730919553103,0.1440795541559791,1.0893416416009056,5346.282132187965,0,0,0
roms,0.7415635455093342,7.9784561158746365,2.70243243581723,0.34683544060110233,0.15148725096637705,8.072611305814167,4.060521003580098,0.20862728651684045,0.11739810938427432,1.1152796597333117,6540.4514784365565,0,0,0
lbm,0.2491852464375304,33.84776881192086,25.39606821033355,0.750336568072617,0.06874648522357797,24.174633426615095,7.983953910669997,0.5125248939785817,0.40674913320379785,1.2169869998861778,5060.439153205552,0,0,0
cam4,1.0313228885241759,5.79784440363964,3.834919932888901,0.683550508484848,0.3032512996561775,14.002875665876687,6.6546974833148544,0.311839667310266,0.23069725345362238,1.1179120765933885,4986.668770143836,0,0,0

bc,0.2959497124678192,25.46869713643621,19.659894557652372,0.7723913029492707,0.25030180052118334,21.327414481474825,7.923910446794891,0.45507548484349825,0.3601280578749953,1.1742395952607017,4896.628343132046,0,0,0
pagerankdelta,0.3681123340190418,19.376790187407064,7.937736101167448,0.4282827774613151,0.022770731045318796,20.82962091062563,7.6772405062827485,0.24547552306216472,0.16985067347314062,1.1002284907918962,5247.322391191821,0,0,0
radii,0.20268683946917446,44.80852132634157,15.900451130746616,0.3607131516309415,0.014489033798896461,20.051182234264825,7.20942785673383,0.2721061234966584,0.18886077675547142,1.114364675165398,5298.315555667013,0,0,0
mis,0.4071851623890213,19.422541880423267,10.566374881128283,0.5449947725478039,0.24280043354942227,18.479717630776648,7.458835963581601,0.34484454507280815,0.26008451368897,1.1293739230077198,4941.5200577303,0,0,0
cf,0.2896364443627417,16.17359576834607,16.101709758474353,0.9969310477143372,0.28611145062905474,18.798369797324803,7.7801983725710535,0.3740588551758194,0.28242216178414736,1.1463982582857877,5010.610276796688,0,0,0
bellmanford,0.31056245221762485,29.456375097893478,3.2220061734773533,0.10996579744395717,0.004147332516873539,19.855789837938357,7.533992709663442,0.0852788877288996,0.05464453773412384,1.033490371637663,5322.49357368565,0,0,0
pagerank,0.2718596964232788,36.424645795427715,10.864004782719904,0.2983623105189762,0.32033519634618146,17.985166070146654,7.491525893848837,0.23176485656804402,0.1680640895605688,1.0829183194131202,4928.131594195695,0,0,0
triangle,0.7023026343087498,8.54979057986025,6.9750636540928745,0.8172781867955708,0.23790076068170976,17.233266782919905,7.233246018851034,0.3806605400993844,0.29216624236109995,1.1428849661096758,4913.877032306694,0,0,0

add,0.1740123355740737,62.59636337060685,20.84084976554044,0.3329400133941385,0.3673434104553306,18.531834598880998,7.92566303538605,0.2876319132082242,0.21195573159328776,1.1062318526307826,4953.954394374509,0,0,0
triad,0.20111042491121572,53.932902944264804,17.993612207603803,0.3336259004143992,0.3676187611587227,18.50627048574322,7.928508864384584,0.2861730360916119,0.21117078847369797,1.1050706283316296,4941.955670102377,0,0,0
scale,0.2453102624803909,41.979535782538306,20.989974868812656,0.5000002828732936,0.3532782629078134,19.508243897704297,7.9610725783798895,0.4004890345173451,0.3117102539648205,1.1480853323192355,4867.743089736886,0,0,0
copy,0.20857421036072854,50.1840008498192,25.092089811809327,0.4999998505505568,0.32874415676591423,20.068317817288932,7.972467256776837,0.4074596227504407,0.31821169290402546,1.1506191531802175,4861.989130439115,0,0,0

delta,0.5962444451259717,18.16126863472331,4.9352699506473,0.2743495342879591,0.1518706064654009,20.937888599245305,7.8589822469911885,0.23909658780254456,0.1704064142009187,1.0902744980512726,5048.207923781272,0,0,0
merced,0.6783034513884701,14.112794126973183,5.637043602027606,0.41482540416095276,0.1001566086465383,20.55818975320123,7.6670052600365715,0.31112955731932657,0.2254640892885701,1.124356428615804,5120.140030845068,0,0,0
whiskey,0.7542825870119981,11.857694997170887,4.989556162682767,0.43614749608639725,0.030703442818691244,21.743370424284898,7.787068772449956,0.3184341681392559,0.2277753181364414,1.1330155441555905,5227.124059379028,0,0,0
charlie,0.7477267803865694,12.162690479072607,5.242766204125796,0.4435264760967338,0.06341654263736898,21.47555794854067,7.654205033240684,0.3248273219585659,0.23521722762021066,1.1327217425300733,5162.030918315308,0,0,0

