Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write BGLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
bwaves,0.6282863329340633,15.85407368169614,6.104974931319032,0.43709639008273987,0.0,22.821055842251134,7.735099394712179,0.2621874115792041,0.216450757539618,1.0619895279063756,4245.089979893448,0,0,0
fotonik3d,0.42121092591262105,18.195289762026665,9.747294805054104,0.5606662966680206,0.0,24.157310621008264,7.752878105707159,0.26492131595927637,0.2281220047956296,1.050061730754266,4024.1901614755684,0,0,0
wrf,0.42632489371857435,19.349059447255772,7.211349891829752,0.37454130849635403,0.0,17.998098826409343,6.68027163136392,0.20583438331139747,0.17031842173761708,1.0447211020314249,4166.492509724254,0,0,0
omnetpp,0.5029496124693974,12.01077035038927,5.372098676133644,0.4829399236520357,0.0,19.18418785290214,7.240801391321251,0.17302619165613617,0.14706177275181137,1.0313969059749575,4004.5324408826255,0,0,0
roms,0.7936066599743499,7.963072079389101,2.6961774359657857,0.34687305712897176,0.0,6.914425538528111,3.4655170648169653,0.2040801897871777,0.12400982446556849,1.1006010458518416,5977.073794288395,0,0,0
lbm,0.27972310695306757,33.83210323730943,25.368491897498316,0.7501711697662167,0.0,30.51243042080086,7.9999515104494705,0.4632853919561302,0.41209877463145145,1.095370270451992,4063.704994689771,0,0,0
cam4,1.06174941934418,5.80909548891746,3.8248311782844153,0.6827922077922078,0.0,18.48401005714132,6.776548453052165,0.27212194399001005,0.22654266956138158,1.0626193825356962,4212.163535319369,0,0,0

bc,0.32268746561637074,25.442156766357375,19.638855808125744,0.7723347369420783,0.0,28.894232900172554,7.994152206476267,0.4245582461424602,0.36760558556370343,1.0989720683231066,4188.4735115366,0,0,0
pagerankdelta,0.4202874022199372,19.410432536299425,7.929294841414103,0.42820660861737114,0.0,25.793431354592094,7.543312371649133,0.21439948061389785,0.1830153215750162,1.0399492595338486,4020.3361736446936,0,0,0
radii,0.2282367322370607,44.74107551783102,15.900429880746776,0.3607204231431057,0.0,20.819774126133833,6.077564471262696,0.23908874618532527,0.20053862465378774,1.050663098144855,4133.695873633606,0,0,0
mis,0.42879940185760157,19.444925015928494,10.581969854497915,0.5454435687945035,0.0,23.70570919121063,7.210639686709063,0.3056793956482276,0.25801401811499225,1.0686503860529049,4178.038626078131,0,0,0
cf,0.3395873422481613,16.11606513536577,16.04116475938253,0.9969236821473817,0.0,25.374728046325156,7.882643895297328,0.36917112484031134,0.31338528513563096,1.0884326033594431,4231.2102543674355,0,0,0
bellmanford,0.35296245795003833,29.445458932596743,3.2225099113809774,0.1099742964674301,0.0,25.529007013133285,7.467820471449466,0.07323109952274295,0.06089988350675723,1.0133055997127607,4020.994467045874,0,0,0
pagerank,0.2946708985909527,36.416620838023746,10.864003532719929,0.29842351869884753,0.0,23.85569113571058,7.085841686600666,0.2139699323470923,0.17617599402096332,1.0480820516688147,4200.637861525039,0,0,0
triangle,0.7211825413504561,8.994816105517916,7.315251176847489,0.8160910275602548,0.0,20.772367303932548,7.017795352772605,0.35217962094748856,0.2999587210550104,1.0806101530317018,4186.833708548288,0,0,0

add,0.18858682909397811,62.808457096387585,20.909523567041667,0.3329080936601177,0.0,28.65428671159912,7.999702538157166,0.26380668794683254,0.22046134289514072,1.0588776675120917,4181.316879586987,0,0,0
triad,0.21784940176078782,53.78479260122677,17.93991611545063,0.33354904581333333,0.0,28.4836369320227,7.999375178306982,0.262067939187125,0.2185697341312348,1.0589460837464826,4189.977183421913,0,0,0
scale,0.25914870208755975,41.906683968921044,20.954023671422412,0.5000137208916503,0.0,28.879064204050493,7.999914194449833,0.36165574088141716,0.3100005768030477,1.0809205430149778,4161.410629306937,0,0,0
copy,0.22013498106498575,50.37609731811681,25.18836484257272,0.5000004342286408,0.0,28.950109697573755,8.0,0.3662173578581051,0.31436854329610814,1.081808511490267,4158.763046350964,0,0,0

delta,0.6142539093160481,18.20671548471485,4.915644913976214,0.27253800425649616,0.0,29.3697951961939,7.951599706400136,0.1993730969351865,0.16684166488026914,1.0406324493098926,4103.6786423755175,0,0,0
merced,0.7164412407335693,14.098605727770618,5.611012380765987,0.41587191529306083,0.0,25.434179471344642,7.4771371769318815,0.2621659185383977,0.22298824608496956,1.0530982146769632,4085.799751827322,0,0,0
whiskey,0.8169852417315459,11.927824559229343,4.952256169525837,0.4381656655198076,0.0,26.358852157203696,7.713786028489039,0.2640321251098102,0.22533192851986317,1.0525840840481269,4070.09715622046,0,0,0
charlie,0.8064176215015674,12.165851104750805,5.224117454288972,0.44325650018724916,0.0,26.327537344148773,7.361119002689884,0.27390605852506383,0.23345953588018584,1.0557042557919127,4087.3914570259954,0,0,0

