Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.367021704510927,22.362657392172213,8.413027100381212,0.37954225224634885,0.0,21.33611493550974,0.22076806541700264,0.17333465682397117,1.0608720029145304,4458.900437446568,10927060,1813877,574322
roms,0.6851871009519194,9.214421564817396,3.0574623929888163,0.33886092566968107,0.0,10.096450569131914,0.19356201131969802,0.12062766453479205,1.0904401179119299,5774.162044505861,3678012,730150,50690
cam4,1.0011689934893004,5.7890273020797824,3.7283424067914397,0.6761973378989389,0.0,14.799903431005077,0.33859817914183593,0.22614826168075075,1.170017550473602,5780.9296007542225,3291142,10760,31726
lbm,0.24577168109966785,37.84413561028729,28.430276504940323,0.7513709809775233,0.0,29.910369430773457,0.4755547167706243,0.413238419560257,1.1188232580273052,4248.887453173821,23671477,8697257,353215
omnetpp,0.49043738818067756,12.026468112032846,5.396602297627414,0.48670328258061024,0.0,17.93771885178102,0.2043584540899646,0.1494422278476958,1.0690213155969086,4824.136415457689,6950483,425536,257047
bwaves,0.6236639749691506,19.539621753216398,6.10882225564711,0.44138324815559626,0.0,24.29902262626116,0.26068459479814204,0.2146019804682386,1.0623314677411886,4258.489959398886,11366499,467001,2082795
fotonik3d,0.4093321885336663,18.07962233593432,9.799774657007887,0.563710288250958,0.0,23.68060929301356,0.2848187829981795,0.22834654831262155,1.078962133432839,4441.138511853588,10461537,963017,1714905

triangle,0.6567053697796165,9.035013064320674,7.309049634547518,0.811079161239581,0.0,18.418065420497847,0.39932422894260566,0.28934485904259694,1.1830927352145526,5388.1864920885755,5917418,68108,441695
pagerankdelta,0.38746216455689964,19.14653507103938,9.898804703035859,0.5524101733312443,0.0,24.122820309162844,0.2714756432326033,0.21736875159553126,1.0742691594789704,4427.522813107239,10949484,2442141,458256
radii,0.2403619059836222,39.84593403162972,14.064859578054213,0.35641155998762114,0.0,21.680619178975842,0.2354139624975591,0.18863605988533352,1.0611806916655553,4370.295269202822,23571748,4721165,1798708
bc,0.2769374554137481,29.7672273950385,25.568371477265142,0.8589435547963687,0.0,29.746896089801293,0.4810359257687951,0.4186783517504193,1.1201577857017415,4247.077132500319,17408244,8211342,618517
cf,0.3201993276053981,16.15065431759949,16.07703439711121,0.9969586533119023,0.0,25.100033859262485,0.3708330515794161,0.30181995993440563,1.1096896329634862,4499.310306906715,9400711,2657518,62683
mis,0.4147632356941458,19.562132353484873,10.6356870479833,0.5440744036957836,0.0,25.97872278859476,0.296905312224934,0.24911270792760737,1.0679746343249523,4200.4610609328265,10921489,4475406,571460
pagerank,0.3094740566026482,43.51769994688746,4.421909823123607,0.10166896146904753,0.0,27.670085943083606,0.09327596098863965,0.07391612965155064,1.021351404070193,4253.2375919003325,28616413,924820,669154
bellmanford,0.3586623819510185,29.229332358008072,2.6266223686688814,0.09027002245390009,0.0,23.677845714828067,0.06547871223100295,0.0505822543738949,1.0159402017397279,4339.943086606469,17681452,232941,831153

scale,0.2495874355022304,41.70009768842354,20.859348487697236,0.500222871101367,0.0,29.37395631207785,0.34519549905509717,0.29551974271590703,1.0758634924889894,4147.149915984918,24655293,10765765,42480
add,0.17934970713554496,62.65423299002122,20.881416664743334,0.33327959937021134,0.0,27.315812667714575,0.2589859139493668,0.21099755578267493,1.0647603858955696,4312.851891400572,37154274,8515261,8
copy,0.21494764246674108,50.351030957399125,25.171457248285428,0.49991348343208963,0.0,29.76381912981641,0.3566590305403732,0.3080596159834027,1.0755422347776038,4109.224454722179,29762396,13464237,97620
triad,0.20822461875587694,53.69279996891542,17.93103896896526,0.33395545147394695,0.0,28.65504549442273,0.2492305041488104,0.20829907523622856,1.054519302047795,4163.727774852992,31805332,9490261,42142

whiskey,0.834943367587043,10.778977534406664,4.782002260899887,0.47053812481012314,0.0,23.28842562080717,0.30877243842173785,0.23269422555210126,1.1100624701595074,4860.87307566234,7319297,283281,625251
charlie,0.8675043792999575,11.414566978672237,3.800619857476755,0.34239295434214073,0.0,23.879431771422432,0.24054248145469606,0.1862779442881926,1.071451708412136,4565.800085249249,11529899,1353003,884267
merced,0.6331984152636434,15.436183816076365,6.044259848893504,0.40658663541833434,0.0,24.095879544857162,0.2827556240579756,0.2196165715561271,1.088030041948983,4622.756003216275,6904612,527894,616972
delta,0.5689106400584135,18.95128363240809,5.5797947489092365,0.2982171119043372,0.0,25.397663059978342,0.23593584978212184,0.1810023649459866,1.071896430189102,4610.801766014702,11875188,508417,1266007

