Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP
wrf,0.3667334069206733,22.385769932997718,8.444359725558309,0.3800912940906403,0.0,21.750576753962317
roms,0.6846744937377012,9.234907524947328,3.0622473928213414,0.3394180537078453,0.0,10.181374666982979
cam4,1.0079605133811964,5.709690650473383,3.7237924255241515,0.6827904840399832,0.0,15.493885637520023
lbm,0.24579759579939875,37.79582324647022,28.382086293761333,0.7510090114452976,0.0,29.603983049060396
omnetpp,0.49176233250386486,12.02337309075929,5.393324824716943,0.4865347247405996,0.0,17.962399414543206
bwaves,0.6252328171058533,19.441520450297336,6.104169710051939,0.43900087650297787,0.0,24.551105989350745
fotonik3d,0.410881770185921,18.189848402046287,9.814374631960952,0.5639336980892261,0.0,23.72091500358418

triangle,0.663070174320937,9.204713552882476,7.441782276746531,0.8123520527989686,0.0,18.09211128116508
pagerankdelta,0.38818739415878345,19.122201014613868,9.885849678709885,0.5527814791350623,0.0,24.156697557050492
radii,0.24046197957282558,39.82834244786336,14.046292148842696,0.35606940116069974,0.0,21.54234467052879
bc,0.27824989216872564,29.769903746883084,25.56770897729164,0.8588439754399682,0.0,29.713189096790167
cf,0.3212245189872213,16.13467095066652,16.06136939769865,0.9969558507580113,0.0,25.175412332200146
mis,0.4147280090083486,19.536091514884795,10.631827074726917,0.5446386709207435,0.0,25.95145318831936
pagerank,0.3094855349556447,43.52188116788383,4.45008489987309,0.10230837776957283,0.0,27.685250742785996
bellmanford,0.3587999442411441,29.20690931834088,2.630347407937841,0.09045360789999285,0.0,23.714239776546346

scale,0.24996243060464562,41.69789505352425,20.86162343537824,0.5003038521594967,0.0,29.2428539027756
add,0.1791994549299393,62.73528339558919,20.90058426847955,0.33315420818375185,0.0,27.516115937273227
copy,0.21507425817628384,50.162511226646046,25.093264811800513,0.500237502156109,0.0,29.51806406211165
triad,0.20823718896369128,53.6612443469718,17.90738383602005,0.33371121257773695,0.0,28.496463532466663

whiskey,0.8377883185554822,10.747252877921174,4.779992237100427,0.4719740295389063,0.0,23.2754823215829
charlie,0.8718277650402393,11.409878182676778,3.8183548663575797,0.34407243231772466,0.0,24.24058375234424
merced,0.6342982755613461,15.431132727076523,6.0412198489695035,0.406593493495902,0.0,23.871192435033098
delta,0.5736288198993018,18.903948423019948,5.579517151280178,0.29906825215134697,0.0,26.148698322318424

