Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.3653975454611895,22.410812901339916,8.396089811087979,0.3786100254824002,0.0,20.772177204251257,0.2240600296731016,0.17319066717758114,1.0655583736382204,4549.158725073218,0,0,0
roms,0.684687111647624,9.212492002478095,3.0573698624183563,0.3388895477918315,0.0,10.078270687844704,0.19596996961114865,0.12077778403893319,1.0935191258165449,5855.214252772808,0,0,0
cam4,1.0038248691028842,5.794314567187683,3.742347340950238,0.6782278186226204,0.0,15.02239401238149,0.3389887553925231,0.22759285839626528,1.168523452369418,5743.518644380299,0,0,0
lbm,0.24507389886030315,37.729336563020716,28.312976367480946,0.750558817237338,0.0,29.67124150409743,0.4765828535129399,0.41238245776110105,1.1226562717379875,4281.529861703878,0,0,0
omnetpp,0.4893498467024812,12.022453790087994,5.3701322046427284,0.4843506512980074,0.0,17.54610494131213,0.2074735358830594,0.14894473107200434,1.0738509153461138,4936.231230793654,0,0,0
bwaves,0.6138349672347773,19.511177522300134,6.071757302667888,0.43841050349904837,0.0,21.520576294744206,0.2878287341222717,0.21718627567119989,1.0991930759295763,4807.172354956534,0,0,0
fotonik3d,0.4060217457769175,18.176347523550945,9.778051913316885,0.5633038706481978,0.0,22.56043613702369,0.2971920048444443,0.23008161526158882,1.0954889387221636,4669.572694562644,0,0,0

triangle,0.6406312877960498,9.529469010320422,7.6397272326095464,0.8047750460273481,0.0,17.41425041561887,0.4039916358528518,0.2880513147924382,1.194528010066297,5528.569703565998,0,0,0
pagerankdelta,0.3873123938757934,19.17089709693467,9.841554606337816,0.5500591401793418,0.0,23.757551932150434,0.2731177277311444,0.21682065122693153,1.0774500612437417,4478.786248717809,0,0,0
radii,0.24009954082681778,39.74994140974675,14.016844719663105,0.3553944482726687,0.0,21.47857586171193,0.23637354731835017,0.1882332783726283,1.0630416465755819,4405.210701837682,0,0,0
bc,0.2758624552482731,29.763030313524762,25.61686647532534,0.8606940622822907,0.0,29.53629806801245,0.48520199740328873,0.4203047256748281,1.1260635655171738,4289.781320061869,0,0,0
cf,0.3210623137491367,16.111944995016884,16.040301697984916,0.9969357544824748,0.0,25.3104407773858,0.36895619677426217,0.3010823599382017,1.1075580434973078,4478.885218031269,0,0,0
mis,0.4142711258999829,19.596573805557288,10.628024681159259,0.5427532739453635,0.0,25.383100708370335,0.3005579458147494,0.2499500733343191,1.0723546320636685,4255.271917407044,0,0,0
pagerank,0.30799738696059364,43.49783494024951,4.392977346245793,0.1010439633771835,0.0,25.410589603000126,0.09897021783573984,0.07357094511912647,1.0281891600248825,4564.415292361502,0,0,0
bellmanford,0.35779986730865715,29.208952614705698,2.5975624090853158,0.08932912347369304,0.0,21.551270873944706,0.06915745216894206,0.050074844185299915,1.0205003606980647,4651.001513919299,0,0,0

scale,0.24874890485652162,41.81159929991706,20.951528585771822,0.5010913486797596,0.0,29.475425834137255,0.34363367754950136,0.2954062931290132,1.0734763237705958,4120.808067000357,0,0,0
add,0.17904973466391105,62.614403353850484,20.865784374026468,0.3332420206291649,0.0,27.396515204222496,0.2574240319767306,0.21008730742306045,1.0637466422185464,4301.31665211733,0,0,0
copy,0.21488688996320315,50.13332867594149,25.061442186731973,0.4998945065882892,0.0,29.669780840484535,0.3569891019449414,0.30708935099244195,1.0776032740711443,4133.929289984007,0,0,0
triad,0.20816217646102195,53.685598476896615,17.923568924585865,0.33386123629319264,0.0,28.618490831103117,0.24894425609628415,0.2078599910395003,1.0547020183125726,4168.453132941708,0,0,0

whiskey,0.8280142550883486,10.736184702996022,4.72877236995876,0.4692478524849551,0.0,22.215668535241647,0.3159290694196007,0.23162498394986153,1.123238807119331,5055.803957580958,0,0,0
charlie,0.8575651227900256,11.411333127234633,3.756517293391549,0.3385626363870898,0.0,22.014783910402535,0.2542966673898732,0.18559952862141965,1.092123953004204,4937.983927933252,0,0,0
merced,0.625068482133798,15.499237208488388,6.010767379784652,0.401912988590405,0.0,22.765492880538268,0.2944916165631129,0.21945344893854415,1.1063604195020618,4899.379668237043,0,0,0
delta,0.5609782327377758,18.884432171173444,5.509927183179187,0.29658824827615904,0.0,22.69236241201719,0.2554041432382308,0.18115892209254597,1.0997121062002355,5116.36072162474,0,0,0

