Workload,IPC,MPKI,WPKI,Write-Read-Ratio,Write RBHR,Write BLP,Write Mode Fraction,Ideal Write Mode Fraction,Ideal Speedup,Write Latency,Total Evictions,PW Evictions,SW Evictions
wrf,0.36957226676921745,22.401685658098284,8.423237163070514,0.3801143695471225,0.0371325408738772,21.154809617528723,0.21777861521032776,0.17399688152214027,1.0559710262842785,4361.538489209167,10942594,1788244,565687
roms,0.6867495486227666,9.219526406573667,3.060362392887316,0.3391491633510728,0.023767682461921312,10.065045274658228,0.19259430711276554,0.1206934306966249,1.089051733285441,5734.852652259332,3680023,750721,21637
cam4,1.056020198549681,5.741615818343744,3.7252898882413032,0.6781435422550659,0.3062862254238987,14.00656315959154,0.30513773034730834,0.22815144290283593,1.1107935929273465,4902.527040847826,3272240,10760,31726
lbm,0.24410648796975,37.94017035119813,28.523741287740997,0.7518650832300598,0.02179869458133126,29.735836614975405,0.4692799697122719,0.41055098795233974,1.1106590639288525,4189.475172831896,23709974,9014879,309871
omnetpp,0.49819992974707955,12.00819033247226,5.38512479805782,0.4864378670217234,0.00185796511036231,17.549466836875332,0.2064983523959261,0.1514891651249615,1.0693246037195527,4810.148874910054,6943175,456600,221780
bwaves,0.6249937087154828,19.52764059338122,6.146067300252812,0.44394553889654453,0.00622196212505075,24.44983286709843,0.2574745588517623,0.21276895745641475,1.0602075012085983,4233.805177050203,11361705,449560,2119404
fotonik3d,0.41053325969208826,18.17359907562575,9.804422328422609,0.5644709248685534,0.002964255243858036,23.742993837144653,0.28400878666068,0.2283066143817316,1.077797284716887,4424.501102436171,10499084,1014362,1664051

triangle,0.70129090064798,8.91474813047382,7.239449782816506,0.8141362331080606,0.1926303085415209,17.519822610108815,0.37237439555220536,0.29310243118052254,1.126304541768064,4722.045481355628,5868764,68108,506474
pagerankdelta,0.3881249371974321,19.132378720141805,9.843732081641386,0.550773196020494,0.004080292149102142,23.657792106173524,0.2741232722886468,0.21737837879741675,1.0781742840415112,4486.756193344344,10943738,2310244,290238
radii,0.2408243782616135,39.86409892724165,14.066879577993612,0.35646843879898227,0.005566483536938928,21.587614350453137,0.23475665006163712,0.1888583052134803,1.0599787568906724,4348.033855410724,23578977,4809858,1726778
bc,0.27838743322617704,29.76924518995939,25.56896147724154,0.8589050900757418,0.03805783784202192,29.546640148970575,0.47255603402797636,0.41600280068071754,1.1072213106903919,4150.5479403006675,17409051,8416816,532845
cf,0.3233121181635527,16.115489811818776,16.042876818177735,0.9969413558425183,0.061957107647699045,25.160514646899628,0.36231723992367365,0.30024356184013345,1.0973425690167795,4369.899636770274,9386697,2653425,62342
mis,0.42392188673279835,19.478255403562617,10.601191916934445,0.5447482158933482,0.020877480862535668,25.744409985801134,0.3002871469906347,0.2538056825445582,1.0664293420453352,4163.719151406787,10888075,4378414,624607
pagerank,0.31041148095130416,43.522318533978115,4.427239811842308,0.10178339463015369,0.02137415961783766,27.713302137652292,0.09229095393044318,0.07413205956722993,1.0200051926791327,4190.534219965486,28618257,1004707,619866
bellmanford,0.36059994453110983,29.219466112632574,2.6283548751531436,0.09034628408281174,0.0010491257016794603,23.73097564797359,0.06567751596745405,0.050864234234033384,1.015854570543445,4328.622244711996,17677545,264221,807829

scale,0.25676144755838476,41.81967203786413,20.941803481719248,0.5007624371590135,0.03568647940997583,29.50701521060408,0.34890277324520647,0.30310613927544305,1.070337627143681,4065.7851145113805,24703009,10883735,46843
add,0.18371205856194014,62.68745886291796,20.882984164680632,0.33312771061274055,0.04765610167740647,27.503076361223304,0.2563375881734619,0.21436354559476087,1.0564423344668006,4168.896356531406,37167535,8777553,8
copy,0.21791001095597543,50.30472172596461,25.16763205956644,0.5002977071258627,0.02855483636754729,29.721256599717478,0.3569890782058854,0.3111529352018336,1.0712836150219047,4056.0138535080723,29743937,13466424,179546
triad,0.21279944722312913,53.745073931584905,17.94846387822101,0.33395465996368234,0.031166021460248047,28.602649652489834,0.25081091156320456,0.21190577710531425,1.051929659759283,4108.698467529118,31826170,9469300,46494

whiskey,0.860972812227941,10.778309694683548,4.798882224064272,0.47065309497048907,0.015168507200469045,23.081761793367747,0.3182418710525306,0.24399883869813,1.1088993723756848,4772.826390310661,7318988,347009,613933
charlie,0.8958967807874673,11.40063833551555,3.8241573470337062,0.3447600257116919,0.013621083258705381,23.944396158106883,0.24418539750522406,0.19273616217638506,1.0680712375217634,4465.505638823714,11524343,1404046,912806
merced,0.6568100476357832,15.52708180720996,6.055419803198856,0.4029740818459791,0.033942810636494535,23.82142479662604,0.2879097293508561,0.22753739325853461,1.0847818578356447,4529.6006684920285,6940939,580290,510283
delta,0.5944749257418126,18.823792817238783,5.644692260100579,0.30373982204289207,0.0325925248034946,25.863939107310443,0.23807054819290432,0.18994132147260995,1.0631675630941217,4397.459765965994,11824122,527072,1447708

